stateid,fips,state,statename,year,academicyear,stapr,netuit_fte,netuit,fte,gsp,pc_income,state_pop_total,state_pop_1824,pop4_white_nh_1824,pop4_black_nh_1824,pop4_aina_nh_1824,pop4_api_nh_1824,pop4_hispanic_1824,state_ug_merit,state_grad_merit,state_unc_merit,state_total_merit,state_ug_need,state_grad_need,state_unc_need,state_total_need,ugradmerit,region_compact,locx,locy,_ID,_CX,_CY,state_ug_need1,state_ug_merit1,unrate,stapr_fte,stapr_fte2,r,wt,lnnetuit,lnstapr,lnfte,lnpc_income,lnnetuit_lnstapr,lnnetuit_lnfte,lnnetuit_lnpc_income,lnstapr_lnfte,lnstapr_lnpc_income,lnfte_lnpc_income,lnnetuit_2,lnstapr_2,lnfte_2,lnpc_income_2,state_abbrev,state_fips,tuitset,_est_model1,_est_model2,state_needFTE,eps,_est_N,_est_M,state_name,P,C1,C2,T2
Alabama,1,AL,Alabama,1990,1991,770600000,1627.7424,259900000,159669,71610,15861,4050055,448160,315353,124589,1700,3128,3390,6510000,129999.99,,6640000,4310000,50000,,4350000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,4310000,6510001,6.8,4826.2344,23292538,-181.9037,.9994390483638111,19.375807,20.462681,11.980858,9.6716185,198.24048,116.0694,93.697708,122.58024,98.953621,57.937141,187.71094,209.36066,71.770477,46.770103,AL,1,Campus,1,1,27.24386,-1652.323950832112,0,1,ALABAMA,0,1,0,
Alabama,1,AL,Alabama,1991,1992,805100000,1696.6454,289200000,170454,76043.296875,16572,4099156,449364,313396,127018,1878,3361,3711,5290000,120000,,5410000,2850000,40000,,2890000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,2850000,5290001,7.3,4723.2686,22309266,-318.80112,.9999541417127789,19.48263,20.506477,12.046221,9.7154694,199.76006,117.34603,94.641449,123.51278,99.615028,58.517345,189.78644,210.25781,72.555717,47.195171,AL,1,Campus,1,1,16.954721,-1555.64681955447,0,1,ALABAMA,0,1,0,
Alabama,1,AL,Alabama,1992,1993,809300000,1924.7352,334800000,173946,81260.1015625,17583,4154014,452062,311744,130774,1993,3475,4076,5510000,70000,,5580000,2270000,40000,,2310000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,2270000,5510001,7.6,4652.5933,21646624,-332.71262,.9999917037075455,19.629044,20.511681,12.0665,9.7746878,201.31233,118.42693,95.933884,123.75209,100.24763,58.973133,192.64967,210.36452,72.800209,47.772259,AL,1,Campus,1,1,13.279984,-1313.25545106808,0,1,ALABAMA,0,1,0,
Alabama,1,AL,Alabama,1993,1994,814400000,1986.7219,358500000,180448,84562.796875,18129,4214202,455676,310887,134134,2152,3732,4771,6250000,20000,,6280000,2280000,40000,,2330000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,2280000,6250001,7.3,4513.2114,20369078,-471.51138,.9988957592187965,19.697439,20.517962,12.103198,9.8052683,202.07565,119.201,96.569336,124.16647,100.59206,59.337551,193.99455,210.49338,73.243698,48.071644,AL,1,Campus,1,1,12.912307,-1233.491049038208,0,1,ALABAMA,0,1,0,
Alabama,1,AL,Alabama,1994,1995,881000000,2114.8848,385700000,182374,90098.5,18977,4260229,452532,304656,136417,2196,3862,5401,6810000,2980000,,9780000,2280000,40000,,2320000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,2280000,6810001,6.2,4830.7324,23335976,-289.18295,.9999103707163939,19.770571,20.596569,12.113814,9.8509827,203.60297,119.74851,97.379776,124.75151,101.44822,59.666489,195.43773,212.10933,73.372246,48.520931,AL,1,Campus,1,1,12.721111,-1144.248009182557,0,1,ALABAMA,0,1,0,
Alabama,1,AL,Alabama,1995,1996,1013800000,2221.5408,398400000,179335,95819.1015625,19892,4296800,445782,295920,138233,2273,3711,5645,6180000,0,,6180000,2140000,40000,,2180000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,2140000,6180001,6,5653.1074,31957624,167.52522,.9877199097169219,19.802967,20.736971,12.097011,9.8980732,205.32678,119.77835,98.005608,125.42768,102.62803,59.868549,196.07875,215.01099,73.168831,48.985928,AL,1,Campus,1,1,12.156021,-1138.534322968278,0,1,ALABAMA,0,1,0,
Alabama,1,AL,Alabama,1996,1997,939600000,2292.4558,406700000,177408,100145.8984375,20630,4331102,438794,287418,138166,2444,3882,6884,6210000,0,,6210000,1950000,30000,,1980000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,1950000,6210001,5.2,5296.2661,28050434,-124.71272,.997856520136548,19.823586,20.660965,12.086207,9.9345016,204.7872,119.79598,98.468719,124.85635,102.6282,60.035225,196.48727,213.43774,73.038208,49.34716,AL,1,Campus,1,1,11.160714,-1022.167133128516,0,1,ALABAMA,0,1,0,
Alabama,1,AL,Alabama,1997,1998,969000000,2425.468,439000000,180996,104087.3984375,21516,4367935,434955,282350,138183,2481,3946,7995,5620000,0,,5620000,2270000,40000,,2310000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,2270000,5620001,5,5353.7095,28662206,-125.23542,.9976422770195865,19.900009,20.691774,12.10623,9.976552,205.88326,120.45704,99.266739,125.24969,103.21628,60.389217,198.00519,214.07477,73.280403,49.765797,AL,1,Campus,1,1,12.762713,-898.3256982024541,0,1,ALABAMA,0,1,0,
Alabama,1,AL,Alabama,1998,1999,979000000,2606.2605,470000000,180335,109404.296875,22721,4404701,439758,284040,139509,2644,4067,9498,5620000,0,,5620000,2050000,40000,,2089999.9,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,2050000,5620001,4.4,5428.7852,29471708,-128.36682,.9973903733643431,19.968243,20.702042,12.102571,10.031045,206.6917,120.83354,100.15117,125.27397,103.83156,60.700718,199.36536,214.28726,73.236115,50.310932,AL,1,Campus,1,1,11.589541,-725.3479959097417,0,1,ALABAMA,0,1,0,
Alabama,1,AL,Alabama,1999,2000,1042900000,2924.1704,505665103,172926,115030.8984375,23371,4430141,440752,282948,139292,2705,4293,11514,5660000,0,,5660000,1830000,40000,,1870000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,1830000,5660001,4.7,6030.9033,36371796,427.15817,.965133020325404,20.041386,20.76527,12.060619,10.059251,208.0824,120.85576,100.80066,125.22101,104.44153,60.660397,200.82857,215.59822,72.729271,50.594265,AL,1,Campus,1,1,10.813874,-481.3088729558062,0,1,ALABAMA,0,1,0,
Alabama,1,AL,Alabama,2000,2001,1086326194,3146.8389,524911621,166806,119242.3984375,24372,4452173,442244,282066,139351,2801,4555,13471,5590000,0,,5590000,1820000,40000,,1860000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,1820000,5590001,4.6,6512.5127,42412820,727.65369,.9334310737631669,20.078741,20.806067,12.024587,10.101191,208.87981,120.71928,101.40959,125.09218,105.08302,60.731319,201.57793,216.4462,72.295341,51.017025,AL,1,Campus,1,1,11.150678,-318.7737277108113,0,1,ALABAMA,0,1,0,
Alabama,1,AL,Alabama,2001,2002,1076332593,3482.5688,577524824,165833,122449.296875,25139,4467634,447963,284154,141720,2934,4796,14359,5490000,0,,5490000,1840000,30000,,1870000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,1840000,5490001,5.1,6490.4609,42126084,904.36169,.9040371801737266,20.174261,20.796825,12.018737,10.132175,209.78029,121.23457,102.20457,124.97578,105.35854,60.887974,203.50041,216.25397,72.225021,51.33049,AL,1,Campus,1,1,11.276404,19.59008696932869,0,1,ALABAMA,0,1,0,
Alabama,1,AL,Alabama,2002,2003,1104594412,3431.72,596045167,173687,127792.296875,25706,4480089,450657,285011,142268,3053,5099,15226,5060000,450000,4990000,10500000,1650000,30000,0,1680000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,1650000,5060001,5.9,6359.6841,40445580,673.08844,.9352162951000175,20.205828,20.822744,12.06501,10.15448,210.37039,121.89175,102.58984,125.61331,105.72207,61.25695,204.13774,216.79333,72.782234,51.556732,AL,1,Campus,1,1,9.6725721,-13.61984554130777,0,1,ALABAMA,0,1,0,
Alabama,1,AL,Alabama,2003,2004,1150861691,3719.2041,671889084,180654,133739.203125,26693,4503491,456549,287372,144466,3082,5491,16138,1820000,1000000,0,2820000,3260000,140000,420000,3820000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,3260000,1820001,6,6370.5298,40583648,777.32977,.9176125372407805,20.325603,20.863777,12.104339,10.192157,212.03442,123.01399,103.58087,126.27111,106.32344,61.684658,206.56508,217.64861,73.257507,51.940029,AL,1,Campus,1,1,21.145393,262.4822879617959,0,1,ALABAMA,0,1,0,
Alabama,1,AL,Alabama,2004,2005,1162442056,4302.2661,788033203,183167,146524.703125,28399,4530729,457934,287613,144597,3055,5678,16991,1750000,1540000,0,3290000,1170000,20000,2170000,3360000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,1170000,1750001,5.7,6346.3511,40276172,1019.9142,.8701486914811354,20.48505,20.873789,12.118154,10.254109,213.80031,124.12049,105.02797,126.47589,107.02106,62.130436,209.81863,217.85753,73.42482,52.57338,AL,1,Campus,1,1,18.343916,850.9269624361873,0,1,ALABAMA,1,1,0,
Alabama,1,AL,Alabama,2005,2006,1200784589,4823.7139,870762331,180517,155970.40625,29808,4569805,458170,286487,144328,3057,6046,18252,2350000,2079999.9,0,4430000,5280000,0,0,5280000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,5280000,2350001,4.5,6651.9199,44248040,1437.0377,.78333143653007,20.584879,20.90624,12.10358,10.302532,215.17621,124.57537,106.03819,126.52018,107.69361,62.348763,211.86862,218.53545,73.248329,53.071083,AL,1,Campus,1,1,29.249323,1326.968893530202,0,1,ALABAMA,1,1,0,
Alabama,1,AL,Alabama,2006,2007,1384213411,5014.7803,907599978,180985,163853.59375,31306,4628981,459114,284968,145256,2993,6093,19804,2910000,1300000,0,4210000,5860000,50000,0,5910000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,5860000,2910001,4,7648.2217,58495296,1831.8855,.7041325164717012,20.626314,21.048397,12.10617,10.351565,217.07542,124.85283,106.75732,127.40773,108.94193,62.658905,212.72241,221.51752,73.279671,53.577454,AL,1,Campus,1,1,32.65464,1400.139426748747,0,1,ALABAMA,1,1,0,
Alabama,1,AL,Alabama,2007,2008,1654005770,5181.4736,945639637,182504,169678.40625,32573,4672840,462996,286621,145706,2863,6251,21555,3590000,1600000,0,5190000,16250000,50000,0,16290001,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,16250000,3590001,4,9062.8467,82135192,2322.1802,.5972559447449447,20.667372,21.226465,12.114528,10.391239,219.34763,125.18772,107.3798,128.5743,110.28464,62.942478,213.57013,225.28142,73.38089,53.988926,AL,1,Campus,1,1,89.258324,1413.402760637037,0,1,ALABAMA,1,1,0,
Alabama,1,AL,Alabama,2008,2009,1922991456,5149.3662,963374359,187086,172686.796875,33377,4718206,470431,289913,148084,2898,6422,23114,2620000,1160000,0,3780000,19660000,40000,0,19700000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,19660000,2620001,5.7,10278.649,105650632,2500.3325,.5671182003234695,20.685953,21.377148,12.139323,10.415623,221.10333,125.55673,107.72854,129.75206,111.32816,63.219307,213.95433,228.49123,73.681587,54.242599,AL,1,Campus,1,1,105.29916,1278.142474032373,0,1,ALABAMA,1,1,0,
Alabama,1,AL,Alabama,2009,2010,1552340810,5483.0293,1091961750,199153,168348,32631,4757938,476884,292291,149798,2831,6644,25320,2520000,1150000,0,3670000,24230000,40000,0,24270000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,24230000,2520001,11,7794.7148,60757580,2111.8718,.624808739496247,20.811241,21.163031,12.201829,10.393018,220.21446,126.96761,108.1458,129.11385,109.97388,63.406914,216.55388,223.93694,74.442314,54.007408,AL,1,Campus,1,1,121.8661,1823.268889257092,0,1,ALABAMA,1,1,0,
Alabama,1,AL,Alabama,2010,2011,1516771850,6573.6533,1380907679,210067,174753,33845,4785579,479785,292855,150703,2796,6872,26559,2370000,1060000,0,3440000,16820000,30000,0,16850000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,16820000,2370001,10.5,7220.4194,52134456,2702.436,.4266007049763634,21.046007,21.139851,12.255182,10.429546,222.45473,128.96133,109.75015,129.53636,110.23952,63.907997,221.46721,223.44664,75.094749,54.387718,AL,1,Campus,1,1,80.212502,2982.793993751653,0,1,ALABAMA,1,1,0,
Alabama,1,AL,Alabama,2011,2012,1517510854,7197.4634,1531317957,212758,181349.796875,34941,4798649,481711,293229,153552,2922,7110,24898,1840000,770000,0,2620000,16850000,20000,0,16870000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,16850000,1840001,9.6,7132.5679,50873524,3072.9902,.3079422437388909,21.149395,21.140337,12.267911,10.461416,223.55267,129.72945,110.62631,129.67389,110.57893,64.169861,223.64845,223.45692,75.250816,54.720615,AL,1,Campus,1,1,79.291969,3615.661878551948,0,1,ALABAMA,1,1,0,
Alabama,1,AL,Alabama,2012,2013,1466422085,8108.6768,1673338946,206364,186299,35806,4813946,484911,294889,156515,2977,7311,23219,1859000,740000,0,2599000,6932000,5000,0,6937000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,6932000,1859001,8,7105.9976,50495200,3805.198,.1138128144618074,21.238087,21.106091,12.237397,10.48587,224.1265,129.94945,111.34991,129.1418,110.65787,64.159882,225.52817,222.73354,74.876945,54.976738,AL,1,Campus,1,1,33.61536,4556.220804492361,0,1,ALABAMA,1,1,0,
Alabama,1,AL,Alabama,2013,2014,1379444964,8978.7363,1769798631,197110,191481,36046,4827660,486117,294688,158731,3029,7580,22089,2245000,740000,0,2985000,6546000,8000.0005,0,6554000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,6546000,2245001,7.2,6998.3511,48976916,4575.3843,.0040100009197506,21.294132,21.044947,12.191517,10.492551,224.06694,129.80388,111.71488,128.28491,110.40759,63.960056,226.72003,221.44489,74.316544,55.04681,AL,1,Campus,1,1,33.250469,5438.926120454327,0,1,ALABAMA,1,1,0,
Alabama,1,AL,Alabama,2014,2015,1417608270,9464.9912,1840363426,194439,194059.703125,37217,4840037,480309,291178,156949,3061,7905,21216,2337000,740000,0,3077000,3058000,6000,0,3064000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,3058000,2337001,6.8,7290.7607,53155192,4981.3491,0,21.333229,21.072237,12.177874,10.524521,224.76942,129.89668,112.26101,128.30753,110.8876,64.083145,227.55333,222.01959,74.150299,55.382771,AL,1,Campus,1,1,15.758156,5900.390322544587,0,1,ALABAMA,1,1,0,
Alabama,1,AL,Alabama,2015,2016,1436124131,10118.078,1956947663,193411,200460.796875,38594,4850858,471505,284753,154453,3045,8342,20912,3536000,740000,0,4276000,2664500,0,0,2664500,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,2664500,3536001,6.1,7425.2456,55134272,5434.5552,0,21.394651,21.085215,12.172573,10.560852,225.5554,130.21397,112.97288,128.33066,111.33891,64.276375,228.86555,222.29314,74.08577,55.765797,AL,1,Campus,1,1,13.776362,6537.936104887131,0,1,ALABAMA,1,1,0,
Alabama,1,AL,Alabama,2016,2017,1455427446,10953.609,2141824989,195536,203398.40625,39260,4860545,462142,278321,150910,3059,8624,21228,4855000,1924000,0,6779000,3458000,0,0,3458000,Yes,SREB,32.799,-86.807297,Alabama,32.799,-86.807297,3458000,4855001,5.8,7443.271,55402284,6150.8833,0,21.484924,21.098566,12.183499,10.577962,226.65054,130.88078,113.63335,128.52718,111.58991,64.438293,230.80098,222.57474,74.218826,55.94664,AL,1,Campus,1,1,17.684723,7369.475392316825,0,1,ALABAMA,1,1,0,
Alaska,2,AK,Alaska,1990,1991,161000000,1518.4382,23100000,15213,25039.5,23213,553290,55524,38494,3297,9498,1853,2382,0,2110000,,2110000,460000,0,,460000,No,WICHE,61.384998,-152.2683,Alaska,61.384998,-152.2683,460000,1,7.2,10583.054,112001024,2035.4774,.8563136122374679,16.955343,18.896915,9.6299057,10.052467,160.20184,81.639175,85.221519,90.987755,94.980316,48.402157,143.74184,178.54671,46.367542,50.526051,AK,2,System Board,1,1,30.237297,-1620.797319105646,1,0,ALASKA,0,1,1,All Other WICHE States
Alaska,2,AK,Alaska,1991,1992,170400000,1594.5597,27200000,17058,22282.5,23510,570193,53943,37714,3011,8879,1937,2402,0,2160000,,2160000,470000,0,,470000,No,WICHE,61.384998,-152.2683,Alaska,61.384998,-152.2683,470000,1,8.5,9989.4482,99789080,1904.7207,.8729835271921043,17.118727,18.953659,9.7443743,10.065181,162.23126,83.40564,86.151543,92.345772,95.386002,49.039444,146.52541,179.62059,47.476414,50.653931,AK,2,System Board,1,1,27.553055,-1476.882029158177,1,0,ALASKA,0,1,1,All Other WICHE States
Alaska,2,AK,Alaska,1992,1993,172700000,1731.8721,30500000,17611,22752.80078125,24240,588736,54373,37908,3221,8676,2150,2418,30000,1950000,,1980000,470000,0,,470000,Yes,WICHE,61.384998,-152.2683,Alaska,61.384998,-152.2683,470000,30001,8.9,9806.3711,96164912,1850.3806,.8782228721817017,17.233236,18.967066,9.7762794,10.095759,163.43196,84.238464,86.991302,92.713669,95.743469,49.349483,148.49222,179.87479,47.787819,50.962177,AK,2,System Board,1,1,26.687866,-1318.426518180231,0,1,ALASKA,0,1,1,All Other WICHE States
Alaska,2,AK,Alaska,1993,1994,171000000,1652.5259,29800000,18033,23284.19921875,25036,599432,54716,38147,3438,8555,2282,2294,50000,1880000,,1940000,450000,0,,450000,Yes,WICHE,61.384998,-152.2683,Alaska,61.384998,-152.2683,450000,50001,7.7,9482.6152,89919992,1520.725,.9263607235389363,17.210018,18.957174,9.7999582,10.12807,163.12666,84.328728,87.15213,92.889755,95.999794,49.627331,148.09236,179.68723,48.019592,51.288898,AK,2,System Board,1,1,24.95425,-1360.149340817731,0,1,ALASKA,0,1,1,All Other WICHE States
Alaska,2,AK,Alaska,1994,1995,175100000,1826.0773,32800000,17962,23604.69921875,25713,603308,54295,37765,2922,8740,2419,2449,0,1760000,,1760000,440000,0,,440000,No,WICHE,61.384998,-152.2683,Alaska,61.384998,-152.2683,440000,1,7.6,9748.3574,95030472,1645.2493,.9083429244028537,17.305939,18.980867,9.7960138,10.154752,164.24086,84.76461,87.868759,92.968422,96.373001,49.738045,149.74776,180.13666,47.980942,51.55949,AK,2,System Board,1,1,24.496159,-1218.359027273748,1,0,ALASKA,0,1,1,All Other WICHE States
Alaska,2,AK,Alaska,1995,1996,172600000,1957.1763,35100000,17934,25448.80078125,26399,604412,54077,37352,2767,8976,2441,2541,0,1510000,,1510000,430000,0,,430000,No,WICHE,61.384998,-152.2683,Alaska,61.384998,-152.2683,430000,1,7.3,9624.1777,92624800,1607.7471,.9109104033005745,17.373713,18.966488,9.7944536,10.181082,164.75916,85.083008,88.441597,92.883194,96.549683,49.859066,150.92294,179.86383,47.96566,51.827213,AK,2,System Board,1,1,23.976805,-1072.700941334634,1,0,ALASKA,0,1,1,All Other WICHE States
Alaska,2,AK,Alaska,1996,1997,171600000,2087.8743,36400000,17434,26736.900390625,26953,608569,54692,37286,2748,9403,2593,2662,0,1500000,,1500000,210000,0,,210000,No,WICHE,61.384998,-152.2683,Alaska,61.384998,-152.2683,210000,1,7.6,9842.8359,96881416,1696.7126,.8971924826838519,17.41008,18.960676,9.7661772,10.20185,165.05345,85.014961,88.80751,92.586662,96.716988,49.816536,151.55544,179.75362,47.68911,52.038872,AK,2,System Board,1,1,12.045428,-973.8654797029208,1,0,ALASKA,0,1,1,All Other WICHE States
Alaska,2,AK,Alaska,1997,1998,170300000,2253.7175,38800000,17216,25744.80078125,28185,612968,55134,37115,2673,9703,2775,2868,0,1430000,,1430000,240000,0,,240000,No,WICHE,61.384998,-152.2683,Alaska,61.384998,-152.2683,240000,1,7.1,9891.9609,97850888,1640.3258,.9034932170739757,17.47393,18.953072,9.7535944,10.246545,165.59233,85.216812,89.523705,92.43029,97.101746,49.970322,152.66913,179.60947,47.566303,52.495842,AK,2,System Board,1,1,13.94052,-813.143997313377,1,0,ALASKA,0,1,1,All Other WICHE States
Alaska,2,AK,Alaska,1998,1999,167500000,2742.4629,46183076,16840,24170.400390625,29110,619932,55705,37075,2801,10140,2879,2810,0,1440000,,1440000,0,0,,0,No,WICHE,61.384998,-152.2683,Alaska,61.384998,-152.2683,1,1,6.3,9946.5557,98933968,1967.0431,.8400438253436278,17.648125,18.936495,9.7315121,10.278837,167.09682,85.871468,90.701103,92.140366,97.322571,50.014313,155.72815,179.29543,47.351162,52.827248,AK,2,System Board,1,1,0,-338.4780055295532,1,0,ALASKA,0,1,1,All Other WICHE States
Alaska,2,AK,Alaska,1999,2000,168900000,2800.5471,45408070,16214,24732.599609375,29776,624779,56755,37291,2979,10501,2961,3023,0,1520000,,1520000,0,0,,0,No,WICHE,61.384998,-152.2683,Alaska,61.384998,-152.2683,1,1,6.5,10416.924,108512304,2020.0051,.8330084527300993,17.631201,18.944817,9.6936302,10.301458,167.00993,85.45517,90.813538,91.822021,97.57962,49.929264,155.42963,179.45303,46.983234,53.06002,AK,2,System Board,1,1,0,-340.8487439151004,1,0,ALASKA,0,1,1,All Other WICHE States
Alaska,2,AK,Alaska,2000,2001,174974100,2768.2356,44203186,15968,26778.30078125,31881,627963,57670,37437,2984,10977,3052,3220,0,1440000,,1440000,0,0,,0,No,WICHE,61.384998,-152.2683,Alaska,61.384998,-152.2683,1,1,6.4,10957.797,120073312,1704.0924,.8928255232180409,17.604307,18.980148,9.6783419,10.369765,167.06618,85.190254,91.276268,91.848183,98.409843,50.181068,154.95581,180.12302,46.835152,53.766014,AK,2,System Board,1,1,0,-442.6770090133291,1,0,ALASKA,0,1,1,All Other WICHE States
Alaska,2,AK,Alaska,2001,2002,190649900,2842.3599,45645456,16059,28420.400390625,33425,633714,61774,39793,3325,11475,3370,3811,0,1440000,,1440000,0,0,,0,No,WICHE,61.384998,-152.2683,Alaska,61.384998,-152.2683,1,1,6.4,11871.842,140940624,1634.0326,.9077310697803238,17.636415,19.065948,9.6840248,10.417059,168.12749,85.395744,91.859787,92.317558,99.305557,50.439529,155.52158,181.7552,46.890167,54.257557,AK,2,System Board,1,1,0,-486.0321112566598,1,0,ALASKA,0,1,1,All Other WICHE States
