id,State,HSGrad2000,HSGrad2010,HSGrad2013,HSGrad2014,HSGrad2015
1,Alabama,37819,43166,44233,44540,45420
2,Alaska,6615,8245,7860,7720,7860
3,Arizona,38304,61145,62208,66700,67200
4,Arkansas,27335,28276,28928,29610,30350
5,California,309866,404987,422125,424080,422830
6,Colorado,38924,49321,50968,51310,51450
7,Connecticut,31562,34495,38722,37860,37160
8,Delaware,6108,8133,8070,8240,8390
9,Florida,106708,156130,158029,158440,163740
10,Georgia,62563,91561,92416,94380,97420
11,Hawaii,10437,10998,10790,11050,10760
12,Idaho,16170,17793,17198,19120,18050
13,Illinois,111835,139035,139228,137640,140520
14,Indiana,57012,64551,66595,67560,66750
15,Iowa,33926,34462,32548,32590,32450
16,Kansas,29102,31642,31922,32150,31900
17,Kentucky,36830,42664,42888,42400,42530
18,Louisiana,38430,36573,37508,38180,37720
19,Maine,12211,14069,13170,12730,12560
20,Maryland,47849,59078,58896,58120,57650
21,Massachusetts,52950,64462,66360,65200,65790
22,Michigan,97679,110682,104210,102520,102020
23,Minnesota,57372,59667,58255,56370,56800
24,Mississippi,24232,25478,26502,26650,26260
25,Missouri,52848,63994,61407,60900,60590
26,Montana,10903,10075,9369,9470,9390
27,Nebraska,20149,19370,20442,20580,20650
28,Nevada,14551,20956,23038,22720,23040
29,New Hampshire,11829,15034,14262,13790,13520
30,New Jersey,74420,96225,96490,95220,95250
31,New Mexico,18031,18595,19232,18590,19530
32,New York,141731,183826,180351,178810,179110
33,North Carolina,62140,88704,94339,96210,97020
34,North Dakota,8606,7155,6900,6960,7040
35,Ohio,111668,123437,122491,119520,120940
36,Oklahoma,37646,38503,37033,37260,38420
37,Oregon,30151,34671,33899,34440,34800
38,Pennsylvania,113959,131182,129777,127200,123560
39,Rhode Island,8477,9908,9579,9730,9900
40,South Carolina,31617,40438,42246,41720,42650
41,South Dakota,9278,8162,8239,7960,8140
42,Tennessee,41568,62408,61323,60970,62010
43,Texas,212925,280894,301390,304360,309280
44,Utah,32501,31481,33186,33400,34070
45,Vermont,6675,7199,6491,6360,6240
46,Virginia,65596,81511,83279,83100,82680
47,Washington,57597,66046,66066,66240,68200
48,West Virginia,19437,17651,17924,17510,17460
49,Wisconsin,58545,64687,61425,60810,60460
50,Wyoming,6462,5695,5489,5590,5550
