newid,state,fy,x2,x1fte,state_abbrev,state_fips,fips,year,state_pop_total,state_pop_1824,y_pop,x3_pop,x4_pop,x5_pop,y,x1,x3,x4,x5,MD
1,ALABAMA,1991,170454,1696.6454,AL,1,1,1990,4050055,448160,137.55368,15861.464,17681.24,1377.1633,557.1,289.2,64239.80032,71609.99936,5577.5872,0
1,ALABAMA,1992,173946,1924.7352,AL,1,1,1991,4099156,449364,136.12558,16571.68,18550.965,1457.3148,558,334.8,67929.89900799999,76043.296768,5973.761024,0
1,ALABAMA,1993,180448,1986.7219,AL,1,1,1992,4154014,452062,137.45741,17582.945,19561.826,1568.9729,571,358.5,73039.798272,81260.10163200001,6517.535232,0
1,ALABAMA,1994,182374,2114.8848,AL,1,1,1993,4214202,455676,154.88104,18128.699,20066.146,1602.9922,652.7,385.7,76398.00217599999,84562.796544,6755.33312,0
1,ALABAMA,1995,179335,2221.5408,AL,1,1,1994,4260229,452532,171.02367,18977.477,21148.746,1710.1146,728.6,398.4,80848.396288,90098.499584,7285.479936,0
1,ALABAMA,1996,177408,2292.4558,AL,1,1,1995,4296800,445782,158.53659,19892.385,22300.107,1776.1472,681.2,406.7,85473.59948800001,95819.10425600001,7631.74912,0
1,ALABAMA,1997,180996,2425.468,AL,1,1,1996,4331102,438794,164.53087,20629.854,23122.498,1837.3396,712.6,439,89349.99654399999,100145.897472,7957.705216,0
1,ALABAMA,1998,180335,2606.2605,AL,1,1,1997,4367935,434955,164.65446,21516.209,23829.887,1908.6724,719.2,470,93981.401088,104087.396352,8336.956928,0
1,ALABAMA,1999,172926,2924.1704,AL,1,1,1998,4404701,439758,178.89977,22692.416,24838.076,1991.1477,788,505.665103,99953.303552,109404.299264,8770.410496,0
1,ALABAMA,2000,166806,3146.8389,AL,1,1,1999,4430141,440752,183.34608,23352.1,25965.518,2125.2346,812.248992,524.911621,103453.097984,115030.900736,9415.089152,0
1,ALABAMA,2001,165833,3482.5688,AL,1,1,2000,4452173,442244,180.44284,24337.576,26782.967,2207.8069,803.362761,577.524824,108355.100672,119242.399744,9829.537791999999,0
1,ALABAMA,2002,173687,3431.72,AL,1,1,2001,4467634,447963,182.77438,25103.869,27408.086,2175.3857,816.569084,596.045167,112154.902528,122449.297408,9718.827008,0
1,ALABAMA,2003,180654,3719.2041,AL,1,1,2002,4480089,450657,190.59802,25711.945,28524.5,2104.9465,853.896083,671.889084,115191.799808,127792.300032,9430.347776000001,0
1,ALABAMA,2004,183167,4302.2661,AL,1,1,2003,4503491,456549,190.73332,26692.871,29696.785,2339.3774,858.965823,788.033203,120211.103744,133739.200512,10535.365632,0
1,ALABAMA,2005,180517,4823.7139,AL,1,1,2004,4530729,457934,194.69923,28414.832,32340.205,2579.425,882.1294349999999,870.762331,128739.90144,146524.700672,11686.675456,0
1,ALABAMA,2006,180985,5014.7803,AL,1,1,2005,4569805,458170,222.5986,29832.191,34130.648,2794.0698,1017.232186,907.599978,136327.299072,155970.404352,12768.354304,0
1,ALABAMA,2007,182504,5181.4736,AL,1,1,2006,4628981,459114,261.754,31362.367,35397.336,2922.821,1211.654323,945.639637,145175.805952,163853.59872,13529.682944,0
1,ALABAMA,2008,187086,5149.3662,AL,1,1,2007,4672840,462996,303.03275,32598.377,36311.625,3004.7583,1416.023516,963.374359,152326.995968,169678.405632,14040.7552,0
1,ALABAMA,2009,199153,5483.0293,AL,1,1,2008,4718206,470431,240.95656,33353.102,36600.098,2829.3003,1136.882694,1091.96175,157366.796288,172686.802944,13349.221376,0
1,ALABAMA,2010,210067,6573.6533,AL,1,1,2009,4757938,476884,238.95415,32607.678,35382.551,2792.1543,1136.929049,1380.907679,155145.306112,168347.992064,13284.896768,0
1,ALABAMA,2011,212758,7197.4634,AL,1,1,2010,4785579,479785,237.50117,33750.691,36516.586,2900.0825,1136.580631,1531.317957,161516.601344,174753.005568,13878.57408,0
1,ALABAMA,2012,206364,8108.6768,AL,1,1,2011,4798649,481711,223.11545,34997.934,37791.844,2962.3516,1070.652706,1673.338946,167942.79936,181349.793792,14215.28576,0
1,ALABAMA,2013,197110,8978.7363,AL,1,1,2012,4813946,484911,207.51894,35896.559,38699.855,3058.7761,998.9849840000001,1769.798631,172804.096,186299.006976,14724.783104,0
1,ALABAMA,2014,194439,9464.9912,AL,1,1,2013,4827660,486117,209.20837,36128.371,39663.316,3013.4751,1009.986884,1840.363426,174415.495168,191481.004032,14548.033536,0
1,ALABAMA,2015,193411,10118.078,AL,1,1,2014,4840037,480309,214.63144,37284.383,40125.934,3153.4163,1038.824104,1956.947663,180457.79968,194211.004416,15262.651392,0
1,ALABAMA,2016,195536,10953.609,AL,1,1,2015,4850858,471505,217.69089,38662.109,41312.836,3212.8176,1055.987548,2141.824989,187544.403968,200402.69824,15584.9216,0
1,ALABAMA,2017,198619,11243.552,AL,1,1,2016,4860545,462142,235.61127,39257.883,41935.586,3380.0273,1145.199185,2233.182923,190814.69952,203829.805056,16428.775424,0
2,ALASKA,1991,17058,1594.5597,AK,2,2,1990,553290,55524,278.51578,23212.602,45255.652,4544.6353,154.1,27.2,12843.29984,25039.499264,2514.50112,0
2,ALASKA,1992,17611,1731.8721,AK,2,2,1991,570193,53943,273.40305,23509.76,39078.875,4007.0662,155.8925,30.5,13405.100032,22282.500096,2284.801024,0
2,ALASKA,1993,18033,1652.5259,AK,2,2,1992,588736,54373,267.50955,24239.557,38646.863,5015.2666,157.4925,29.8,14270.69952,22752.800768,2952.667904,0
2,ALASKA,1994,17962,1826.0773,AK,2,2,1993,599432,54716,269.65128,25035.867,38843.77,3260.0029,161.6376,32.8,15007.299584,23284.199424,1954.150016,0
2,ALASKA,1995,17934,1957.1763,AK,2,2,1994,603308,54295,264.76956,25713.4,39125.453,4465.0991,159.7376,35.1,15513.100288,23604.699136,2693.829888,0
2,ALASKA,1996,17434,2087.8743,AK,2,2,1995,604412,54077,262.79691,26398.881,42105.055,3807.6045,158.8376,36.4,15955.800064,25448.800256,2301.36192,0
2,ALASKA,1997,17216,2253.7175,AK,2,2,1996,608569,54692,255.73599,26953.395,43934.047,3962.7339,155.633,38.8,16403.00032,26736.900096,2411.597056,0
2,ALASKA,1998,16840,2742.4629,AK,2,2,1997,612968,55134,253.34276,28185.158,42000.238,3284.7734,155.291,46.183076,17276.60032,25744.801792,2013.460992,0
2,ALASKA,1999,16214,2800.5471,AK,2,2,1998,619932,55705,252.52705,29220.141,38988.793,2841.6165,156.5496,45.40807,18114.500608,24170.399744,1761.60896,0
2,ALASKA,2000,15968,2768.2356,AK,2,2,1999,624779,56755,253.10696,29891.689,39586.156,3700.1902,158.135919,44.203186,18675.699712,24732.60032,2311.801088,0
2,ALASKA,2001,16079,2676.9331,AK,2,2,2000,627963,57670,274.20694,31974.338,42643.117,3995.0254,172.19182,43.042407,20078.700544,26778.300416,2508.728064,0
2,ALASKA,2002,16706,2762.5171,AK,2,2,2001,633714,61774,288.52972,33517.328,44847.363,3266.3125,182.845322,46.150611,21240.399872,28420.401152,2069.907968,0
2,ALASKA,2003,17974,2852.8027,AK,2,2,2002,642337,65287,299.18539,34633.691,46089.98,3179.8174,192.177845,51.276277,22246.500352,29605.300224,2042.514304,0
2,ALASKA,2004,18802,3057.5073,AK,2,2,2003,648414,68253,303.05963,35840.684,49042.277,3663.7566,196.508104,57.487252,23239.600128,31799.699456,2375.631104,0
2,ALASKA,2005,18720,3481.3975,AK,2,2,2004,659286,71882,318.81049,36916.148,53043.289,4470.0391,210.187282,65.17175899999999,24338.300928,34970.697728,2947.034112,0
2,ALASKA,2006,18795,3902.4929,AK,2,2,2005,666946,73591,343.50497,38919.043,59637.215,5494.7896,229.099268,73.347354,25956.900864,39774.80192,3664.728064,0
