fy,state_abbrev,fips,y,x1,x2,x3,x4,x5,MD,decade,state,region_compact,state_name,yfte,MDSREB,lnnetut,lnfte,lnperinc
1980,AL,1,317400000,86800000,138620,2528359936,31037,3900368,0,1,AL,,ALABAMA,2289.7129,,18.279118,11.839492,10.342936
1981,AL,1,368200000,102000000,145092,2875774976,34466,3918533,0,1,AL,,ALABAMA,2537.7002,,18.440483,11.885123,10.447728
1982,AL,1,371100000,105000000,144840,2969048064,36396,3925263,0,1,AL,,ALABAMA,2562.1375,,18.469471,11.883385,10.502214
1983,AL,1,401600000,122000000,145520,3192537088,38971,3934100,0,1,AL,,ALABAMA,2759.7581,,18.619532,11.888069,10.570573
1984,AL,1,449600000,138900000,144962,3653537024,42870,3951824,0,1,AL,,ALABAMA,3101.5024,,18.749266,11.884227,10.665928
1985,AL,1,550300032,145700000,138705,3997876992,46099,3972520,0,1,AL,,ALABAMA,3967.4131,,18.79706,11.840105,10.738546
1986,AL,1,691500032,151200000,139554,4140454912,48790,3991569,0,1,AL,,ALABAMA,4955.0713,,18.834114,11.846207,10.79528
1987,AL,1,608000000,178700000,142140,4468480000,51652,4015262,0,1,AL,,ALABAMA,4277.4731,,19.001219,11.864568,10.852284
1988,AL,1,664300032,203900000,143246,4682695168,55559,4023842,0,1,AL,,ALABAMA,4637.4771,,19.133141,11.872318,10.9252
1989,AL,1,769299968,215700000,147265,5101409792,60396,4030219,0,1,AL,,ALABAMA,5223.916,,19.1894,11.899989,11.008678
1990,AL,1,770600000,259900000,159669,5367081984,64240,4050055,0,2,AL,,ALABAMA,4826.2344,,19.375807,11.980858,11.070381
1991,AL,1,805100032,289200000,170454,5577587200,67930,4099156,0,2,AL,,ALABAMA,4723.2686,,19.48263,12.046221,11.126233
1992,AL,1,809299968,334800000,173946,5973761024,73040,4154014,0,2,AL,,ALABAMA,4652.5933,,19.629044,12.0665,11.198763
1993,AL,1,814400000,358500000,180448,6517535232,76398,4214202,0,2,AL,,ALABAMA,4513.2114,,19.697439,12.103198,11.243711
1994,AL,1,881000000,385700000,182374,6755333120,80848,4260229,0,2,AL,,ALABAMA,4830.7324,,19.770571,12.113814,11.300326
1995,AL,1,1013800000,398400000,179335,7285479936,85474,4296800,0,2,AL,,ALABAMA,5653.1074,,19.802967,12.097011,11.355968
1996,AL,1,939600000,406700000,177408,7631749120,89350,4331102,0,2,AL,,ALABAMA,5296.2661,,19.823586,12.086207,11.400316
1997,AL,1,969000000,439000000,180996,7957705216,93981,4367935,0,2,AL,,ALABAMA,5353.7095,,19.900009,12.10623,11.450848
1998,AL,1,979000000,470000000,180335,8336956928,99953,4404701,0,2,AL,,ALABAMA,5428.7852,,19.968243,12.102571,11.512455
1999,AL,1,1042899968,505665088,172926,8770410496,103453,4430141,0,2,AL,,ALABAMA,6030.9033,,20.041386,12.060619,11.546873
2000,AL,1,1100327552,524911616,166806,9415089152,108355,4452173,0,3,AL,,ALABAMA,6596.4507,,20.078741,12.024587,11.593168
2001,AL,1,1088445696,577524800,165833,9829537792,112155,4467634,0,3,AL,,ALABAMA,6563.5049,,20.174261,12.018737,11.627637
2002,AL,1,1115999488,596045184,173687,9718827008,115192,4480089,0,3,AL,,ALABAMA,6425.3486,,20.205828,12.06501,11.654356
2003,AL,1,1162194048,671889088,180654,9430347776,120211,4503491,0,3,AL,,ALABAMA,6433.2593,,20.325603,12.104339,11.697003
2004,AL,1,1167536768,788033216,183167,10535365632,128740,4530729,0,3,AL,,ALABAMA,6374.1655,,20.48505,12.118154,11.765551
2005,AL,1,1214819712,870762304,180517,11686675456,136327,4569805,0,3,AL,,ALABAMA,6729.6694,,20.584879,12.10358,11.822812
2006,AL,1,1407875200,907600000,180985,12768354304,145176,4628981,0,3,AL,,ALABAMA,7778.9604,,20.626314,12.10617,11.885702
2007,AL,1,1685067520,945639616,182504,13529682944,152327,4672840,0,3,AL,,ALABAMA,9233.0439,,20.667372,12.114528,11.933784
2008,AL,1,1961808384,963374336,187086,14040755200,157367,4718206,0,3,AL,,ALABAMA,10486.132,,20.685953,12.139323,11.966336
2009,AL,1,1581208960,1091961728,199153,13349221376,155145,4757938,0,3,AL,,ALABAMA,7939.6694,,20.811241,12.201829,11.952115
