State,fy,state_abbrev,fips,lnnetut,lnstateap,lnfte,lnperinc
ALABAMA,1980,AL,1,18.279118,19.575674,11.839492,10.342936
ALABAMA,1981,AL,1,18.440483,19.724136,11.885123,10.447728
ALABAMA,1982,AL,1,18.469471,19.731981,11.883385,10.502214
ALABAMA,1983,AL,1,18.619532,19.810966,11.888069,10.570573
ALABAMA,1984,AL,1,18.749266,19.923868,11.884227,10.665928
ALABAMA,1985,AL,1,18.79706,20.125975,11.840105,10.738546
ALABAMA,1986,AL,1,18.834114,20.354374,11.846207,10.79528
ALABAMA,1987,AL,1,19.001219,20.225685,11.864568,10.852284
ALABAMA,1988,AL,1,19.133141,20.314245,11.872318,10.9252
ALABAMA,1989,AL,1,19.1894,20.460991,11.899989,11.008678
ALABAMA,1990,AL,1,19.375807,20.462681,11.980858,11.070381
ALABAMA,1991,AL,1,19.48263,20.506477,12.046221,11.126233
ALABAMA,1992,AL,1,19.629044,20.511681,12.0665,11.198763
ALABAMA,1993,AL,1,19.697439,20.517962,12.103198,11.243711
ALABAMA,1994,AL,1,19.770571,20.596569,12.113814,11.300326
ALABAMA,1995,AL,1,19.802967,20.736971,12.097011,11.355968
ALABAMA,1996,AL,1,19.823586,20.660965,12.086207,11.400316
ALABAMA,1997,AL,1,19.900009,20.691774,12.10623,11.450848
ALABAMA,1998,AL,1,19.968243,20.702042,12.102571,11.512455
ALABAMA,1999,AL,1,20.041386,20.76527,12.060619,11.546873
ALABAMA,2000,AL,1,20.078741,20.818874,12.024587,11.593168
ALABAMA,2001,AL,1,20.174261,20.808016,12.018737,11.627637
ALABAMA,2002,AL,1,20.205828,20.833015,12.06501,11.654356
ALABAMA,2003,AL,1,20.325603,20.873575,12.104339,11.697003
ALABAMA,2004,AL,1,20.48505,20.878162,12.118154,11.765551
ALABAMA,2005,AL,1,20.584879,20.917862,12.10358,11.822812
ALABAMA,2006,AL,1,20.626314,21.065348,12.10617,11.885702
ALABAMA,2007,AL,1,20.667372,21.245071,12.114528,11.933784
ALABAMA,2008,AL,1,20.685953,21.397133,12.139323,11.966336
ALABAMA,2009,AL,1,20.811241,21.181456,12.201829,11.952115
ALABAMA,2010,AL,1,21.046007,21.156727,12.255182,11.992366
ALABAMA,2011,AL,1,21.149395,21.157423,12.267911,12.03138
ALABAMA,2012,AL,1,21.238087,21.125113,12.237397,12.059914
ALABAMA,2013,AL,1,21.294132,21.064653,12.191517,12.069199
ALABAMA,2014,AL,1,21.333229,21.091211,12.177874,12.103253
ALABAMA,2015,AL,1,21.394651,21.107441,12.172573,12.141768
ALABAMA,2016,AL,1,21.484924,21.125578,12.183499,12.15906
ALABAMA,2017,AL,1,21.526693,21.172651,12.199143,12.192394
ALABAMA,2018,AL,1,21.588087,21.192848,12.218525,12.237838
ALASKA,1980,AK,2,15.882373,18.275656,9.2619839,8.7459211
ALASKA,1981,AK,2,16.034714,18.472324,9.3710976,8.8751469
ALASKA,1982,AK,2,16.137897,18.662058,9.4567318,9.0748644
ALASKA,1983,AK,2,16.395727,18.812723,9.5425892,9.1605196
ALASKA,1984,AK,2,16.569172,18.878738,9.6198635,9.2223673
ALASKA,1985,AK,2,16.606676,18.950132,9.6158056,9.3025551
ALASKA,1986,AK,2,16.69471,18.938284,9.5443096,9.3116322
ALASKA,1987,AK,2,16.744034,18.786018,9.6087141,9.2703056
ALASKA,1988,AK,2,16.831045,18.802536,9.5714359,9.3118134
ALASKA,1989,AK,2,16.840801,18.853762,9.619997,9.4018698
ALASKA,1990,AK,2,16.955343,18.896915,9.6299057,9.4605541
ALASKA,1991,AK,2,17.118727,18.953659,9.7443743,9.5033827
ALASKA,1992,AK,2,17.233236,18.967066,9.7762794,9.5659847
ALASKA,1993,AK,2,17.210018,18.957174,9.7999582,9.616272
ALASKA,1994,AK,2,17.305939,18.980867,9.7960138,9.6494341
ALASKA,1995,AK,2,17.373713,18.966488,9.7944536,9.6775904
ALASKA,1996,AK,2,17.41008,18.960676,9.7661772,9.7052193
ALASKA,1997,AK,2,17.47393,18.953072,9.7535944,9.7571316
ALASKA,1998,AK,2,17.648125,18.936495,9.7315121,9.8044958
ALASKA,1999,AK,2,17.631201,18.944817,9.6936302,9.8349943
ALASKA,2000,AK,2,17.604307,18.980148,9.6783419,9.9074297
ALASKA,2001,AK,2,17.577696,19.073494,9.6852503,9.9636412
ALASKA,2002,AK,2,17.647421,19.127991,9.7235289,10.009962
ALASKA,2003,AK,2,17.752739,19.1752,9.7966995,10.05363
ALASKA,2004,AK,2,17.867073,19.196068,9.8417253,10.099794
ALASKA,2005,AK,2,17.992537,19.266361,9.837326,10.164197
ALASKA,2006,AK,2,18.110718,19.349255,9.84132,10.230162
ALASKA,2007,AK,2,18.182167,19.478899,9.834446,10.303572
ALASKA,2008,AK,2,18.258585,19.522198,9.837513,10.398946
ALASKA,2009,AK,2,18.316885,19.594463,9.8537807,10.401106
ALASKA,2010,AK,2,18.407156,19.635248,9.9179516,10.471468
ALASKA,2011,AK,2,18.499634,19.67235,9.9565458,10.540805
ALASKA,2012,AK,2,18.536478,19.717138,9.9838514,10.575641
ALASKA,2013,AK,2,18.532703,19.76119,9.959424,10.56772
ALASKA,2014,AK,2,18.48645,19.804604,9.9273968,10.624006
ALASKA,2015,AK,2,18.481279,19.807682,9.900157,10.656553
ALASKA,2016,AK,2,18.542828,19.747932,9.8662481,10.634315
ALASKA,2017,AK,2,18.542324,19.680506,9.8251057,10.645782
ALASKA,2018,AK,2,18.543163,19.655777,9.7731085,10.6878
ARIZONA,1980,AZ,4,18.015715,19.261385,11.69648,10.18407
ARIZONA,1981,AZ,4,18.198786,19.406124,11.710423,10.317152
ARIZONA,1982,AZ,4,18.288292,19.543661,11.718003,10.379628
