State,fy,fips,y,x1,x2,x3,x4
ALABAMA,1980,1,317400000,86800000,138620,2528359936,31037
ALABAMA,1981,1,368200000,102000000,145092,2875774976,34466
ALABAMA,1982,1,371100000,105000000,144840,2969048064,36396
ALABAMA,1983,1,401600000,122000000,145520,3192537088,38971
ALABAMA,1984,1,449600000,138900000,144962,3653537024,42870
ALABAMA,1985,1,550300032,145700000,138705,3997876992,46099
ALABAMA,1986,1,691500032,151200000,139554,4140454912,48790
ALABAMA,1987,1,608000000,178700000,142140,4468480000,51652
ALABAMA,1988,1,664300032,203900000,143246,4682695168,55559
ALABAMA,1989,1,769299968,215700000,147265,5101409792,60396
ALABAMA,1990,1,770600000,259900000,159669,5367081984,64240
ALABAMA,1991,1,805100032,289200000,170454,5577587200,67930
ALABAMA,1992,1,809299968,334800000,173946,5973761024,73040
ALABAMA,1993,1,814400000,358500000,180448,6517535232,76398
ALABAMA,1994,1,881000000,385700000,182374,6755333120,80848
ALABAMA,1995,1,1013800000,398400000,179335,7285479936,85474
ALABAMA,1996,1,939600000,406700000,177408,7631749120,89350
ALABAMA,1997,1,969000000,439000000,180996,7957705216,93981
ALABAMA,1998,1,979000000,470000000,180335,8336956928,99953
ALABAMA,1999,1,1042899968,505665088,172926,8770410496,103453
ALABAMA,2000,1,1100327552,524911616,166806,9415089152,108355
ALABAMA,2001,1,1088445696,577524800,165833,9829537792,112155
ALABAMA,2002,1,1115999488,596045184,173687,9718827008,115192
ALABAMA,2003,1,1162194048,671889088,180654,9430347776,120211
ALABAMA,2004,1,1167536768,788033216,183167,10535365632,128740
ALABAMA,2005,1,1214819712,870762304,180517,11686675456,136327
ALABAMA,2006,1,1407875200,907600000,180985,12768354304,145176
ALABAMA,2007,1,1685067520,945639616,182504,13529682944,152327
ALABAMA,2008,1,1961808384,963374336,187086,14040755200,157367
ALABAMA,2009,1,1581208960,1091961728,199153,13349221376,155145
ALABAMA,2010,1,1542585856,1380907648,210067,13284896768,161517
ALABAMA,2011,1,1543660544,1531318016,212758,13878574080,167943
ALABAMA,2012,1,1494583168,1673339008,206364,14215285760,172804
ALABAMA,2013,1,1406898432,1769798656,197110,14724783104,174416
ALABAMA,2014,1,1444764416,1840363392,194439,14548033536,180458
ALABAMA,2015,1,1468403456,1956947712,193411,15262651392,187544
ALABAMA,2016,1,1495279104,2141825024,195536,15584921600,190815
ALABAMA,2017,1,1567347584,2233182976,198619,16428775424,197283
ALABAMA,2018,1,1599326208,2374582272,202506,,206455
ALASKA,1980,2,86500000,7900000,10530,1675469952,6285
ALASKA,1981,2,105300000,9200000,11744,2569009920,7152
ALASKA,1982,2,127300000,10200000,12794,2813207040,8733
ALASKA,1983,2,148000000,13200000,13941,2350806016,9514
ALASKA,1984,2,158100000,15700000,15061,2352061952,10121
ALASKA,1985,2,169800000,16300000,15000,2388753920,10966
ALASKA,1986,2,167800000,17800000,13965,2396877056,11066
ALASKA,1987,2,144100000,18700000,14894,1659421952,10618
ALASKA,1988,2,146500000,20400000,14349,1888852992,11068
ALASKA,1989,2,154200000,20600000,15063,2067480960,12111
ALASKA,1990,2,161000000,23100000,15213,2237760000,12843
ALASKA,1991,2,170400000,27200000,17058,2514501120,13405
ALASKA,1992,2,172700000,30500000,17611,2284801024,14271
ALASKA,1993,2,171000000,29800000,18033,2952667904,15007
ALASKA,1994,2,175100000,32800000,17962,1954150016,15513
ALASKA,1995,2,172600000,35100000,17934,2693829888,15956
ALASKA,1996,2,171600000,36400000,17434,2301361920,16403
ALASKA,1997,2,170300000,38800000,17216,2411597056,17277
ALASKA,1998,2,167500000,46183076,16840,2013460992,18115
ALASKA,1999,2,168900000,45408072,16214,1761608960,18676
ALASKA,2000,2,174974096,44203184,15968,2311801088,20079
ALASKA,2001,2,192093904,43042408,16078.69,2508728064,21240
ALASKA,2002,2,202852864,46150612,16706.09,2069907968,22247
ALASKA,2003,2,212658880,51276276,17974.33,2042514304,23240
ALASKA,2004,2,217143248,57487252,18802.131,2375631104,24338
ALASKA,2005,2,232956432,65171760,18719.59,2947034112,25957
ALASKA,2006,2,253089616,73347352,18794.51,3664728064,27727
ALASKA,2007,2,288123424,78779792,18665.76,4944486912,29839
ALASKA,2008,2,300872928,85036008,18723.1,9735073792,32825
ALASKA,2009,2,323420320,90140944,19030.17,6358792192,32896
ALASKA,2010,2,336883936,98656536,20291.381,6167526912,35294
ALASKA,2011,2,349617088,108215272,21089.83,7292154880,37828
ALASKA,2012,2,365632352,112276808,21673.631,8668072960,39169
ALASKA,2013,2,382098784,111853760,21150.619,6792744960,38860
ALASKA,2014,2,399052672,106797960,20483.939,5568495104,41110
ALASKA,2015,2,400282624,106247232,19933.5,2585052928,42470
ALASKA,2016,2,377066688,112992048,19268.9,2827026944,41536
ALASKA,2017,2,352480704,112935120,18492.23,3030264064,42015
ALASKA,2018,2,343870912,113029904,17555.26,,43818
ARIZONA,1980,4,231800000,66700000,120148,2738160128,26478
ARIZONA,1981,4,267900000,80100000,121835,2750896128,30247
ARIZONA,1982,4,307400000,87600000,122762,2890722048,32197
ARIZONA,1983,4,284100000,93400000,125103,3153451008,35453
ARIZONA,1984,4,328000000,107700000,121672,3804295936,40056
ARIZONA,1985,4,353800000,121900000,117861,4386103808,44570
ARIZONA,1986,4,410500000,134700000,118610,4896410112,48739
ARIZONA,1987,4,431100000,157500000,124340,5439671808,52518
ARIZONA,1988,4,470700000,173400000,129939,5898038784,56718
ARIZONA,1989,4,516600000,198400000,139868,6543518208,60863
ARIZONA,1990,4,530400000,225900000,148735,7040359936,63821
ARIZONA,1991,4,566800000,254700000,154864,7509223936,67175
ARIZONA,1992,4,568099968,266500000,159040,7764418048,71692
ARIZONA,1993,4,577100032,275700000,158969,8374057984,77041
ARIZONA,1994,4,581200000,306600000,158876,8873032704,84344
ARIZONA,1995,4,626200000,323000000,160757,9665967104,91989
ARIZONA,1996,4,657900032,311500000,164271,10162501632,99708
ARIZONA,1997,4,694000000,363000000,164930,10424677376,108023
ARIZONA,1998,4,738000000,383000000,170930,11072453632,118058
ARIZONA,1999,4,795699968,402652608,176648,12237978624,124654
ARIZONA,2000,4,868451008,426791616,180669,13333611520,135388
ARIZONA,2001,4,898588992,487266400,185330,13548788736,141345
ARIZONA,2002,4,937587200,505390496,192181,14420322304,146505
ARIZONA,2003,4,915348672,534708704,205553,14397924352,155175
ARIZONA,2004,4,922181696,640741696,212980,16481173504,169639
ARIZONA,2005,4,987367616,715416832,218212,18331117568,188137
ARIZONA,2006,4,1073220608,798166272,227283,19940354048,209127
ARIZONA,2007,4,1196750336,884583872,229558,23334612992,220736
ARIZONA,2008,4,1325906432,953206528,233255,22992377856,223346
ARIZONA,2009,4,1308325504,1081378048,245680,20645410816,211975
ARIZONA,2010,4,1160505984,1227840640,259953,19633649664,215524
