stateid,state,total,public,private,anystate,homestate,anyrate,homerate
1,Alabama ....................,50164,45394,4770,29728,26567,59.299999,53
2,Alaska ..................,8189,7989,200,3732,2413,45.599998,29.5
3,Arizona .....................,66218,63208,3010,35181,31132,53.099998,47
4,Arkansas ..................,30019,28419,1600,20185,18244,67.199997,60.799999
5,California .................,451364,418664,32700,263843,231215,58.5,51.200001
6,Colorado ....................,52607,50087,2520,31139,23268,59.200001,44.200001
7,Connecticut ...............,44751,38681,6070,31662,17396,70.800003,38.900002
8,Delaware ..................,10037,8247,1790,6500,4632,64.800003,46.099998
9,District of Columbia,5680,3860,1820,2463,450,43.400002,7.9000001
10,Florida ..................,171404,151964,19440,107716,94985,62.799999,55.400002
11,Georgia .................,99952,90582,9370,66494,55399,66.5,55.400002
12,Hawaii .....................,13970,11360,2610,9040,6091,64.699997,43.599998
13,Idaho ........................,18238,17568,670,8782,6179,48.200001,33.900002
14,Illinois .................,153605,139575,14030,92394,63610,60.200001,41.400002
15,Indiana.....................,70767,65667,5100,44612,38812,63,54.799999
16,Iowa ........................,41550,33230,2400,23488,20340,56.5,49
17,Kansas .....................,34078,31898,2180,22239,19058,65.300003,55.900002
18,Kentucky .................,47442,42642,4800,29830,26624,62.900002,56.099998
19,Louisiana ...................,44575,36675,7900,28831,26024,64.699997,58.400002
20,Maine .....................,16103,13473,2630,8681,5829,53.900002,36.200001
21,Maryland ....................,67781,58811,8970,41033,25773,60.5,38
22,Massachusetts ..............,76177,65157,11020,53836,36132,70.699997,47.400002
23,Michigan .....................,115256,105446,9810,70843,63296,61.5,54.900002
24,Minnesota ...................,61891,57501,4390,43264,30237,69.900002,48.900002
25,Mississippi .............,29748,26158,3590,23436,21752,78.800003,73.099998
26,Missouri..................,69053,61313,7740,42762,35648,61.900002,51.599998
27,Montana .....................,10140,9750,390,5907,4598,58.299999,45.299999
28,Nebraska ....................,22844,20464,2380,14750,11969,64.599998,52.400002
29,Nevada ....................,22731,21891,840,12288,9310,54.099998,41
30,New Hampshire ..................,16886,14426,2460,10418,5618,61.700001,33.299999
31,New Jersey .................,106919,93819,13100,72631,41204,67.900002,38.5
32,New Mexico .................,21375,20315,1060,14831,12903,69.400002,60.400002
33,New York ..................,209216,180806,28410,146458,117960,70,56.400002
34,North Carolina ...........,101097,93977,7120,62531,55578,61.900002,55
35,North Dakota ................,7322,6942,380,4751,3527,64.900002,48.200001
36,Ohio .......................,135885,123135,12750,81428,69039,59.900002,50.799999
37,Oklahoma ....................,39295,37305,1990,22667,20207,57.700001,51.400002
38,Oregon ......................,37301,34261,3040,17509,13343,46.900002,35.799999
39,Pennsylvania ...............,146493,131733,14760,87075,70625,59.400002,48.200001
40,Rhode Island ..............,11501,9751,1750,7715,5056,67.099998,44
41,South Carolina .............,44452,41442,3010,29023,26154,65.300003,58.799999
42,South Dakota .............,8456,8196,260,5825,4443,68.900002,52.5
43,Tennessee ...............,67964,62454,5510,41027,34318,60.400002,50.5
44,Texas ....................,306591,292531,14060,176871,156566,57.700001,51.099998
45,Utah ....................,32757,31157,1600,16650,15101,50.799999,46.099998
46,Vermont ....................,7789,6859,930,4142,2040,53.200001,26.200001
47,Virginia ....................,89866,83336,6530,58035,47582,64.599998,52.900002
48,Washington ..................,71165,65205,5960,34168,25854,48,36.299999
49,West Virginia............,18383,17603,780,10241,9110,55.700001,49.599998
50,Wisconsin ................,71225,62705,8520,41715,33972,58.599998,47.700001
51,Wyoming ...................,5603,5553,50,3170,2426,56.599998,43.299999
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
