STU_ID,X1SEX,X1RACE,X1SES,X1SESQ5,X4ATPRLVLA,S3CLGPELL
10001,Male,"White, non-Hispanic",1.5644,Fifth quintile (highest),Attained associate's degree,Yes
10002,Female,"White, non-Hispanic",-.3699,Second quintile,"No degree, not enrolled",Yes
10003,Female,"Black/African-American, non-Hispanic",1.2741,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10004,Female,"White, non-Hispanic",.5498,Fifth quintile (highest),Item legitimate skip/NA,Unit non-response
10005,Male,"White, non-Hispanic",.1495,Fourth quintile,Item legitimate skip/NA,No
10006,Female,"White, non-Hispanic",1.0639,Fifth quintile (highest),Unit non-response,Yes
10007,Female,"White, non-Hispanic",-.43,Second quintile,Attained certificate,Don't know
10008,Male,"White, non-Hispanic",1.5144,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10009,Male,"White, non-Hispanic",-.3103,Third quintile,"No degree, enrolled at a 4-year",Item legitimate skip/NA
10010,Female,"White, non-Hispanic",.0451,Third quintile,Unit non-response,Item legitimate skip/NA
10011,Male,"White, non-Hispanic",1.2058,Fifth quintile (highest),Unit non-response,No
10012,Female,"White, non-Hispanic",2.4996,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10013,Male,"White, non-Hispanic",2.5668,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10014,Female,"Black/African-American, non-Hispanic",-.8837,First quintile (lowest),Item legitimate skip/NA,Don't know
10015,Female,"White, non-Hispanic",.9973,Fifth quintile (highest),"No degree, enrolled at a 4-year",Yes
10016,Female,"White, non-Hispanic",.0686,Fourth quintile,"No degree, enrolled at a 4-year",Yes
10018,Male,"White, non-Hispanic",1.3989,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10019,Male,"Hispanic, race specified",-.0106,Third quintile,Attained associate's degree,Item not administered: abbreviated interview
10020,Male,"White, non-Hispanic",-.2746,Third quintile,"No degree, enrolled at a 4-year",No
10021,Male,"White, non-Hispanic",.4235,Fourth quintile,"No degree, enrolled at less-than-4-year",No
10022,Male,"Asian, non-Hispanic",1.4372,Fifth quintile (highest),"No degree, enrolled at a 4-year",Unit non-response
10024,Male,"White, non-Hispanic",.1402,Fourth quintile,"No degree, enrolled at a 4-year",Missing
10025,Male,"White, non-Hispanic",-.1901,Third quintile,Item legitimate skip/NA,Item legitimate skip/NA
10026,Female,"Asian, non-Hispanic",1.1142,Fifth quintile (highest),"No degree, enrolled at a 4-year",Yes
10027,Female,"White, non-Hispanic",.0887,Fourth quintile,"No degree, enrolled at less-than-4-year",Unit non-response
10028,Male,Missing,Unit non-response,Unit non-response,Unit non-response,Unit non-response
10029,Male,"White, non-Hispanic",-.8297,First quintile (lowest),Unit non-response,Unit non-response
10030,Female,"White, non-Hispanic",1.5809,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10031,Female,"Black/African-American, non-Hispanic",Unit non-response,Unit non-response,Unit non-response,Unit non-response
10033,Female,"More than one race, non-Hispanic",-.6008,Second quintile,Unit non-response,Unit non-response
10034,Female,"Hispanic, race specified",-.0409,Third quintile,Attained certificate,Item legitimate skip/NA
10035,Male,"Black/African-American, non-Hispanic",Unit non-response,Unit non-response,Unit non-response,Unit non-response
10036,Female,"White, non-Hispanic",.1493,Fourth quintile,"No degree, enrolled at a 4-year",No
10037,Female,"White, non-Hispanic",.5238,Fourth quintile,Attained associate's degree,No
10038,Male,"Asian, non-Hispanic",1.0472,Fifth quintile (highest),Unit non-response,No
10039,Female,"Asian, non-Hispanic",.6753,Fifth quintile (highest),"No degree, enrolled at a 4-year",Yes
10040,Male,"White, non-Hispanic",-.082,Third quintile,Missing,Item legitimate skip/NA
10041,Female,"White, non-Hispanic",-.7046,Second quintile,Item legitimate skip/NA,Item legitimate skip/NA
10042,Male,"White, non-Hispanic",-.0821,Third quintile,Unit non-response,Unit non-response
10043,Female,"White, non-Hispanic",-.3642,Second quintile,"No degree, not enrolled",Don't know
10044,Male,"White, non-Hispanic",1.3291,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10045,Female,"White, non-Hispanic",-.2739,Third quintile,Attained certificate,Don't know
10046,Female,"White, non-Hispanic",-.1707,Third quintile,"No degree, enrolled at less-than-4-year",No
10047,Male,Missing,Unit non-response,Unit non-response,Unit non-response,Unit non-response
10048,Female,"White, non-Hispanic",-.2888,Third quintile,Unit non-response,Item legitimate skip/NA
10049,Female,"Hispanic, race specified",.3972,Fourth quintile,"No degree, enrolled at a 4-year",Yes
10050,Female,"White, non-Hispanic",-1.1012,First quintile (lowest),Attained certificate,Item not administered: abbreviated interview
10052,Female,"White, non-Hispanic",-.5433,Second quintile,Unit non-response,Unit non-response
10053,Male,"White, non-Hispanic",.9842,Fifth quintile (highest),Unit non-response,Unit non-response
10054,Female,"More than one race, non-Hispanic",-.2606,Third quintile,Unit non-response,Item legitimate skip/NA
