STU_ID,X1SEX,X1RACE,X1SES,X1SESQ5,X4ATPRLVLA,S3CLGPELL
10001,1,8,1.5644,5,2,1
10002,2,8,-0.3699,2,6,1
10003,2,3,1.2741,5,4,2
10004,2,8,0.5498,5,-7,-8
10005,1,8,0.1495,4,-7,2
10006,2,8,1.0639,5,-8,1
10007,2,8,-0.43,2,3,3
10008,1,8,1.5144,5,4,2
10009,1,8,-0.3103,3,4,-7
10010,2,8,0.0451,3,-8,-7
10011,1,8,1.2058,5,-8,2
10012,2,8,2.4996,5,4,2
10013,1,8,2.5668,5,4,2
10014,2,3,-0.8837,1,-7,3
10015,2,8,0.9973,5,4,1
10016,2,8,0.0686,4,4,1
10018,1,8,1.3989,5,4,2
10019,1,5,-0.0106,3,2,-4
10020,1,8,-0.2746,3,4,2
10021,1,8,0.4235,4,5,2
10022,1,2,1.4372,5,4,-8
10024,1,8,0.1402,4,4,-9
10025,1,8,-0.1901,3,-7,-7
10026,2,2,1.1142,5,4,1
10027,2,8,0.0887,4,5,-8
10028,1,-9,-8,-8,-8,-8
10029,1,8,-0.8297,1,-8,-8
10030,2,8,1.5809,5,4,2
10031,2,3,-8,-8,-8,-8
10033,2,6,-0.6008,2,-8,-8
10034,2,5,-0.0409,3,3,-7
10035,1,3,-8,-8,-8,-8
10036,2,8,0.1493,4,4,2
10037,2,8,0.5238,4,2,2
10038,1,2,1.0472,5,-8,2
10039,2,2,0.6753,5,4,1
10040,1,8,-0.082,3,-9,-7
10041,2,8,-0.7046,2,-7,-7
10042,1,8,-0.0821,3,-8,-8
10043,2,8,-0.3642,2,6,3
10044,1,8,1.3291,5,4,2
10045,2,8,-0.2739,3,3,3
10046,2,8,-0.1707,3,5,2
10047,1,-9,-8,-8,-8,-8
10048,2,8,-0.2888,3,-8,-7
10049,2,5,0.3972,4,4,1
10050,2,8,-1.1012,1,3,-4
10052,2,8,-0.5433,2,-8,-8
10053,1,8,0.9842,5,-8,-8
10054,2,6,-0.2606,3,-8,-7
10055,1,2,1.4132,5,-8,-9
10056,2,8,-0.7901,1,6,-8
10057,2,-9,-8,-8,-8,1
10058,2,2,0.5511,5,4,1
10059,1,-9,-8,-8,-8,1
10060,1,5,-0.0058,3,6,-9
10061,1,2,1.165,5,4,3
10062,1,6,-0.7022,2,-7,-7
10063,1,5,-0.6763,2,5,-8
10064,2,8,-0.1112,3,4,1
10065,2,8,-0.5381,2,-7,-7
10066,1,8,-0.3694,2,-8,1
10067,1,2,-1.7526,1,2,-7
10068,2,8,-0.0872,3,-7,-7
10069,1,2,1.6587,5,-8,2
10070,1,8,2.0218,5,-8,1
10071,2,8,-0.2749,3,-8,-7
10072,2,8,-0.0998,3,5,1
10074,2,6,-0.2813,3,6,-8
10075,2,8,-0.231,3,-7,-7
10076,1,-9,-8,-8,-7,-8
10077,2,8,-0.5803,2,-7,-7
10078,1,3,2.1586,5,4,2
10079,2,6,0.0865,4,-8,-7
10080,2,3,0.2028,4,6,1
10081,2,-9,-8,-8,-8,-8
10082,1,-9,-8,-8,-8,-8
10084,1,8,0.0884,4,2,1
10085,1,8,-0.2902,3,-7,-8
10086,2,2,-0.0996,3,5,-4
10087,1,6,-0.9782,1,6,1
10088,2,6,0.3647,4,-8,1
10089,1,3,0.984,5,-8,3
10090,2,6,-0.0322,3,2,1
10091,1,5,-0.7627,1,-8,2
10092,1,8,-0.6288,2,-7,-7
10093,1,8,-0.1513,3,4,2
10094,1,8,1.7567,5,4,3
10095,2,6,0.122,4,3,1
10096,2,3,-0.3442,2,4,1
10097,2,5,0.9349,5,2,-4
10099,2,8,1.4352,5,4,1
10100,2,8,-0.1266,3,6,2
10101,2,8,-0.1066,3,-7,-8
10102,1,3,0.9312,5,-8,2
10103,1,5,-8,-8,-7,-8
10104,1,8,0.034,3,-8,-8
10105,2,8,1.0498,5,4,2
10106,1,3,-0.4907,2,4,-7
10107,2,3,1.2984,5,-8,1
10108,2,6,-0.4024,2,-8,1
10109,2,6,0.0876,4,-7,-7
10110,2,8,0.5598,5,4,3
10111,1,8,-0.6659,2,-7,-7
10112,1,2,1.4591,5,4,2
10113,1,5,-0.8455,1,6,2
10114,1,8,-0.8049,1,-7,-7
10115,1,8,-0.0649,3,-8,-8
10116,1,5,-0.4728,2,-8,-9
10117,2,8,0.2802,4,4,1
10118,1,3,0.215,4,4,1
10119,1,8,-1.0862,1,-8,-7
10120,1,5,-0.7924,1,-8,2
10121,1,6,-0.7549,1,-8,-7
10122,2,2,0.2871,4,-9,-8
10123,1,8,-8,-8,6,1
10124,2,8,0.3555,4,-7,3
10126,1,8,0.3709,4,-8,-7
10127,2,3,-0.4293,2,6,1
10128,1,2,0.2533,4,6,1
10129,1,6,0.2807,4,5,2
10130,2,8,-0.7751,1,-8,3
10131,1,5,0.5592,5,4,1
10132,2,8,0.3202,4,4,3
10133,1,5,-1.1259,1,-8,-7
10135,1,8,0.2157,4,-8,-8
10136,2,8,-0.2589,3,6,-7
10137,1,8,-0.4726,2,-7,-7
10138,1,3,-0.1636,3,4,1
10139,1,8,-0.0593,3,-7,-7
10140,2,5,-0.6665,2,-8,-8
10141,1,3,-0.6333,2,-7,-7
10142,1,4,-0.9297,1,-8,-8
10143,1,2,1.0303,5,5,1
10145,1,6,0.0676,4,6,-8
10146,2,6,0.1079,4,6,3
10147,1,8,-0.2751,3,6,-7
10148,1,5,-0.7937,1,-8,-8
10149,1,8,0.101,4,-7,-8
10150,1,8,0.5366,4,-8,-8
10151,2,8,-8,-8,-8,-8
10153,1,8,1.1111,5,4,2
10154,1,8,0.2565,4,-7,-7
10155,1,5,-0.9271,1,4,1
10156,1,8,1.9004,5,-7,3
10158,1,8,.9834000000000001,5,4,1
10159,2,8,0.0489,3,6,-8
10160,2,8,0.1032,4,6,1
10161,1,8,-0.8837,1,4,-7
10162,1,5,-0.9416,1,5,-7
10163,1,5,-0.0505,3,5,-7
10164,1,2,1.8024,5,4,2
10165,1,-9,-8,-8,5,-8
10166,1,8,1.0753,5,2,2
10167,1,8,0.3253,4,5,-8
10168,1,8,0.756,5,4,2
10169,1,8,0.1516,4,6,2
10170,1,2,0.3952,4,4,2
10171,2,8,.8110000000000001,5,4,1
10172,2,8,-1.3184,1,-8,-7
10173,2,8,2.2775,5,4,2
10175,1,2,0.1268,4,4,1
10176,2,8,-0.487,2,-8,-7
10177,1,8,0.0301,3,-8,-8
10178,2,8,0.4133,4,4,1
10179,2,2,-8,-8,-8,2
10180,2,6,0.9223,5,4,-7
10181,1,-9,-8,-8,-8,-8
10182,1,8,1.3703,5,-8,-8
10183,2,8,0.1878,4,4,1
10184,1,8,0.0462,3,5,1
10185,1,4,-8,-8,-8,-8
10186,2,2,-8,-8,-7,-7
10187,2,6,0.7085,5,-8,3
10189,2,2,-8,-8,4,1
10190,1,8,0.1626,4,-8,-7
10191,2,1,-0.281,3,-7,-7
10192,1,7,0.0027,3,4,1
10193,2,8,1.0269,5,4,2
10194,1,8,-0.0327,3,4,2
