academicyr,unitid,cc2010,grantlow
2010,216542,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,129525,18. Master's L: Master's Colleges and Universities (larger programs),
2010,212054,16. RU/H: Research Universities (high research activity),
2010,142461,18. Master's L: Master's Colleges and Universities (larger programs),
2010,150163,19. Master's M: Master's Colleges and Universities (medium programs),
2010,129774,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,125763,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,129941,18. Master's L: Master's Colleges and Universities (larger programs),
2010,167792,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,170842,18. Master's L: Master's Colleges and Universities (larger programs),
2010,162760,19. Master's M: Master's Colleges and Universities (medium programs),
2010,227429,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,198756,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,206507,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,131098,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,131113,17. DRU: Doctoral/Research Universities,
2010,131469,15. RU/VH: Research Universities (very high research activity),
2010,204617,18. Master's L: Master's Colleges and Universities (larger programs),
2010,131496,15. RU/VH: Research Universities (very high research activity),
2010,221953,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,169479,19. Master's M: Master's Colleges and Universities (medium programs),
2010,153162,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,132471,17. DRU: Doctoral/Research Universities,
2010,449339,18. Master's L: Master's Colleges and Universities (larger programs),
2010,132657,17. DRU: Doctoral/Research Universities,
2010,454582,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,164447,18. Master's L: Master's Colleges and Universities (larger programs),
2010,133465,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,139579,18. Master's L: Master's Colleges and Universities (larger programs),
2010,186584,17. DRU: Doctoral/Research Universities,
2010,181738,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,436483,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,133553,19. Master's M: Master's Colleges and Universities (medium programs),
2010,236577,18. Master's L: Master's Colleges and Universities (larger programs),
2010,179326,18. Master's L: Master's Colleges and Universities (larger programs),
2010,212911,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,198950,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,175005,18. Master's L: Master's Colleges and Universities (larger programs),
2010,213385,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,233912,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,209825,18. Master's L: Master's Colleges and Universities (larger programs),
2010,231581,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,174899,19. Master's M: Master's Colleges and Universities (medium programs),
2010,451750,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,168281,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,237312,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,116846,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,186618,18. Master's L: Master's Colleges and Universities (larger programs),
2010,135939,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,136215,16. RU/H: Research Universities (high research activity),
2010,101541,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,235422,19. Master's M: Master's Colleges and Universities (medium programs),
2010,180984,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,220181,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,260789,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,200156,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,176318,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,217305,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,156295,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,238661,17. DRU: Doctoral/Research Universities,
