State,FY,COLI,EMI,HECA,ARRA,StateSupport,FinancialAid,NetTuition,FTEStudents,state_abbrev,state_fips,stateid
ALABAMA,2010,.873679,.9710220000000001,.854095,118743545,1516771850,37624240,1380907679,210067,AL,1,1
ALABAMA,2011,.873679,.9710220000000001,.872126,118743545,1517510854,44489857,1531317957,212758,AL,1,1
ALABAMA,2012,.873679,.9710220000000001,.888038,0,1466422085,49277335,1673338946,206364,AL,1,1
ALABAMA,2013,.873679,.9710220000000001,.904348,0,1379444964,50185688,1769798631,197110,AL,1,1
ALABAMA,2014,.873679,.9710220000000001,.9232359999999999,0,1417608270,57991549,1840363426,194439,AL,1,1
ALABAMA,2015,.873679,.9710220000000001,.938934,0,1436124131,59978539,1956947663,193411,AL,1,1
ALABAMA,2016,.873679,.9710220000000001,.9554,0,1455427446,63157981,2141824989,195536,AL,1,1
ALABAMA,2017,.873679,.9710220000000001,.97698,0,1525489971,82411752,2233182923,198619,AL,1,1
ALABAMA,2018,.873679,.9710220000000001,1,0,1556248456,112265332,2208082141,202189,AL,1,1
ALASKA,2010,1.195867,.977113,.854095,0,334200578,788000,105562885,20271.38,AK,2,2
ALASKA,2011,1.195867,.977113,.872126,0,346646403,1412815,114697556,21069.83,AK,2,2
ALASKA,2012,1.195867,.977113,.888038,0,362590136,5566000,118434540,21653.63,AK,2,2
ALASKA,2013,1.195867,.977113,.904348,0,379052770,9255865,118496118,21130.62,AK,2,2
ALASKA,2014,1.195867,.977113,.9232359999999999,0,395868850,11203636,113911573,20463.93,AK,2,2
ALASKA,2015,1.195867,.977113,.938934,0,396843243,14678652,113098318,19903.5,AK,2,2
ALASKA,2016,1.195867,.977113,.9554,0,373003022,14938487,119468103,19228.9,AK,2,2
ALASKA,2017,1.195867,.977113,.97698,0,348027501,15349975,119405736,18452.23,AK,2,2
ALASKA,2018,1.195867,.977113,1,0,339317538,15232363,119464066,17515.25,AK,2,2
ARIZONA,2010,1.009133,1.050309,.854095,71749600,1155700000,11312000,1227840600,259953,AZ,4,3
ARIZONA,2011,1.009133,1.050309,.872126,0,1098106700,11312000,1354359400,275071,AZ,4,3
ARIZONA,2012,1.009133,1.050309,.888038,0,835384800,11312000,1518362500,275238,AZ,4,3
ARIZONA,2013,1.009133,1.050309,.904348,0,854787000,11312000,1624760600,270644,AZ,4,3
ARIZONA,2014,1.009133,1.050309,.9232359999999999,0,893479300,11312000,1759897200,270127,AZ,4,3
ARIZONA,2015,1.009133,1.050309,.938934,0,933395700,11312000,1970196000,274454,AZ,4,3
ARIZONA,2016,1.009133,1.050309,.9554,0,818154800,11312000,2170221000,279239,AZ,4,3
ARIZONA,2017,1.009133,1.050309,.97698,0,856301400,11312000,2328923100,286335,AZ,4,3
ARIZONA,2018,1.009133,1.050309,1,0,871050900,11312000,2387840900,290816,AZ,4,3
ARKANSAS,2010,.854329,.995731,.854095,13641365,944629517,59616148,430593853,118884,AR,5,4
ARKANSAS,2011,.854329,.995731,.872126,13641365,1003646802,137326868,413332125,124085,AR,5,4
ARKANSAS,2012,.854329,.995731,.888038,0,1002878171,141435432,459833218,124426,AR,5,4
ARKANSAS,2013,.854329,.995731,.904348,0,996733851,142301494,478933391,124157,AR,5,4
ARKANSAS,2014,.854329,.995731,.9232359999999999,0,983805665,125305438,537016180,121365,AR,5,4
ARKANSAS,2015,.854329,.995731,.938934,0,976722858,121551466,562211948,118408,AR,5,4
ARKANSAS,2016,.854329,.995731,.9554,0,969096892,107824365,604100895,117110,AR,5,4
ARKANSAS,2017,.854329,.995731,.97698,0,954618872,99632874,644875703,114976,AR,5,4
ARKANSAS,2018,.854329,.995731,1,0,958201137,101404894,664045427,114664,AR,5,4
CALIFORNIA,2010,1.344866,.930453,.854095,35000000,9821547000,670451000,2829285746,1612044,CA,6,5
CALIFORNIA,2011,1.344866,.930453,.872126,217079738,10639560738,1173490000,2346617976,1586699,CA,6,5
