STU_ID,X1SEX,X1RACE,X1SES,X1SESQ5,EarnHr
10001,1,8,1.5644,5,8
10005,1,8,.1495,4,0
10007,2,8,-.43,2,9
10008,1,8,1.5144,5,8
10013,1,8,2.5668,5,20
10018,1,8,1.3989,5,8
10019,1,5,-.0106,3,0
10020,1,8,-.2746,3,12.5
10021,1,8,.4235,4,10
10026,2,2,1.1142,5,8
10030,2,8,1.5809,5,8
10037,2,8,.5238,4,20
10039,2,2,.6753,5,8
10041,2,8,-.7046,2,10
10043,2,8,-.3642,2,10
10044,1,8,1.3291,5,7
10050,2,8,-1.1012,1,9
10060,1,5,-.0058,3,0
10064,2,8,-.1112,3,12.5
10065,2,8,-.5381,2,0
10067,1,2,-1.7526,1,0
10068,2,8,-.0872,3,8
10077,2,8,-.5803,2,9
10078,1,3,2.1586,5,0
10080,2,3,.2028,4,8
10084,1,8,.0884,4,10
10099,2,8,1.4352,5,0
10105,2,8,1.0498,5,9
10109,2,6,.0876,4,6
10110,2,8,.5598,5,8
10117,2,8,.2802,4,9
10124,2,8,.3555,4,12.5
10129,1,6,.2807,4,0
10131,1,5,.5592,5,10
10138,1,3,-.1636,3,7
10143,1,2,1.0303,5,0
10146,2,6,.1079,4,7
10147,1,8,-.2751,3,10
10155,1,5,-.9271,1,0
10156,1,8,1.9004,5,0
10158,1,8,.9834000000000001,5,10
10160,2,8,.1032,4,8
10161,1,8,-.8837,1,12.5
10164,1,2,1.8024,5,0
10166,1,8,1.0753,5,0
10168,1,8,.756,5,0
10171,2,8,.8110000000000001,5,9
10175,1,2,.1268,4,0
10178,2,8,.4133,4,10
10183,2,8,.1878,4,9
10184,1,8,.0462,3,10
10192,1,7,.0027,3,8
10194,1,8,-.0327,3,0
10205,2,8,.5788,5,8
10208,1,8,-.2391,3,8
10210,1,5,2.0292,5,0
10211,2,8,1.0961,5,9
10214,1,6,-.5442,2,7
10216,1,8,.1295,4,0
10220,1,8,-.9952,1,12.5
10223,2,8,.2131,4,6
10226,2,1,.8994,5,8
10227,2,3,.2531,4,0
10229,2,8,1.3994,5,8
10230,1,5,.7785,5,0
10232,1,8,-1.3419,1,8
10233,1,8,1.5235,5,0
10234,2,3,.8559,5,0
10235,2,8,-.2312,3,9
10241,1,8,.8973,5,7
10247,1,8,-.2066,3,12.5
10251,2,5,-.0643,3,9
10253,1,3,1.2556,5,7
10254,2,5,.6675,5,0
10256,2,3,.4329,4,0
10257,2,8,.5718,5,9
10258,1,8,.0027,3,0
10263,1,5,-1.2992,1,0
10265,2,8,-.0714,3,9
10266,2,8,1.6415,5,10
10274,2,8,.3842,4,0
10275,1,3,.0885,4,8
10280,1,6,1.4259,5,8
10281,2,8,-1.1012,1,9
10282,2,8,.3877,4,8
10286,1,8,1.1463,5,9
10290,2,3,1.0467,5,9
10299,2,2,-.452,2,0
10305,2,5,-1.0282,1,7
10309,2,3,-.056,3,8
10311,1,3,.4073,4,0
10314,2,6,-.755,1,9
10315,1,8,.4571,4,7
10316,2,8,1.0407,5,0
10322,1,8,1.4893,5,25
10323,2,8,-.2213,3,12.5
10324,2,8,.7921,5,8
10326,2,2,2.007,5,0
10331,2,8,.3282,4,7
10334,2,5,.4939,4,0
10336,1,8,.0885,4,9
10339,1,5,-.3118,3,0
10340,1,8,.4099,4,0
10344,2,8,.0502,4,12.5
10350,2,8,-.5231,2,8
10353,2,8,-1.1012,1,0
10354,1,8,-.2903,3,10
10355,1,6,2.0667,5,8
10356,2,8,.0374,3,9
10357,1,8,.2551,4,0
10361,1,6,-.4024,2,10
10363,1,8,2.3852,5,0
10364,2,8,-.1942,3,7
10365,1,8,1.3874,5,6
10373,1,8,.5303,4,0
10376,1,8,1.3761,5,12.5
10379,2,8,1.0802,5,7
10383,1,8,1.0162,5,0
10385,1,8,1.1209,5,8
10390,1,8,1.5402,5,9
10392,2,6,1.0439,5,0
10393,2,8,1.6071,5,9
10395,2,8,.0131,3,7
10396,2,8,.5109,4,8
10398,1,2,.0147,3,0
10399,2,8,-.0227,3,9
10401,2,5,-.324,3,0
10402,1,3,.8577,5,7
10404,1,8,.9735,5,10
10409,1,8,1.3204,5,9
10410,2,5,.0153,3,15
10415,2,8,-.5439000000000001,2,8
10425,1,8,.3094,4,0
10434,2,2,.1751,4,7
10435,1,3,-.3755,2,8
10436,2,8,.494,4,10
10437,1,8,1.6709,5,8
10442,2,5,-1.2698,1,0
10445,2,8,.6538,5,6
10446,2,5,-.8685,1,0
10447,1,2,-.8993,1,8
10448,1,8,.4745,4,0
10451,2,5,-1.0941,1,6
10452,1,5,-.3332,3,8
10456,1,2,-.4129,2,7
10458,2,2,-.0296,3,0
10459,1,3,.0332,3,0
10461,1,8,-.1646,3,10
10468,2,6,-.15,3,9
10475,1,8,.6274999999999999,5,7
10480,2,3,-.7751,1,8
10486,2,6,.9828,5,10
10488,2,8,-.012,3,6
10492,2,5,.0478,3,9
10494,1,8,1.8918,5,8
10496,1,8,.0829,4,7
10498,1,8,.4358,4,10
10500,2,8,.6763,5,7
10501,2,5,-.4293,2,9
10504,1,6,.0391,3,0
10506,1,8,.7523,5,7
10509,2,8,-.8952,1,12.5
10510,2,8,.5008,4,0
10512,2,5,-.9534,1,6
10516,1,8,.0557,4,15
10519,1,8,1.1228,5,8
