stateid,fips,state,statename,year,stapr,netuit,fte,pc_income,ugradmerit,region_compact,tuitset
1,1,AL,Alabama,1990,770600000,259900000,159669,15861,1,1,4
1,1,AL,Alabama,1991,805100000,289200000,170454,16572,1,1,4
1,1,AL,Alabama,1992,809300000,334800000,173946,17583,1,1,4
1,1,AL,Alabama,1993,814400000,358500000,180448,18129,1,1,4
1,1,AL,Alabama,1994,881000000,385700000,182374,18977,1,1,4
1,1,AL,Alabama,1995,1013800000,398400000,179335,19892,1,1,4
1,1,AL,Alabama,1996,939600000,406700000,177408,20630,1,1,4
1,1,AL,Alabama,1997,969000000,439000000,180996,21516,1,1,4
1,1,AL,Alabama,1998,979000000,470000000,180335,22721,1,1,4
1,1,AL,Alabama,1999,1042900000,505665103,172926,23371,1,1,4
1,1,AL,Alabama,2000,1086326194,524911621,166806,24372,1,1,4
1,1,AL,Alabama,2001,1076332593,577524824,165833,25139,1,1,4
1,1,AL,Alabama,2002,1104594412,596045167,173687,25706,1,1,4
1,1,AL,Alabama,2003,1150861691,671889084,180654,26693,1,1,4
1,1,AL,Alabama,2004,1162442056,788033203,183167,28399,1,1,4
1,1,AL,Alabama,2005,1200784589,870762331,180517,29808,1,1,4
1,1,AL,Alabama,2006,1384213411,907599978,180985,31306,1,1,4
1,1,AL,Alabama,2007,1654005770,945639637,182504,32573,1,1,4
1,1,AL,Alabama,2008,1922991456,963374359,187086,33377,1,1,4
1,1,AL,Alabama,2009,1552340810,1091961750,199153,32631,1,1,4
1,1,AL,Alabama,2010,1516771850,1380907679,210067,33845,1,1,4
1,1,AL,Alabama,2011,1517510854,1531317957,212758,34941,1,1,4
1,1,AL,Alabama,2012,1466422085,1673338946,206364,35806,1,1,4
1,1,AL,Alabama,2013,1379444964,1769798631,197110,36046,1,1,4
1,1,AL,Alabama,2014,1417608270,1840363426,194439,37217,1,1,4
1,1,AL,Alabama,2015,1436124131,1956947663,193411,38594,1,1,4
1,1,AL,Alabama,2016,1455427446,2141824989,195536,39260,1,1,4
2,2,AK,Alaska,1990,161000000,23100000,15213,23213,0,2,3
2,2,AK,Alaska,1991,170400000,27200000,17058,23510,0,2,3
2,2,AK,Alaska,1992,172700000,30500000,17611,24240,1,2,3
2,2,AK,Alaska,1993,171000000,29800000,18033,25036,1,2,3
2,2,AK,Alaska,1994,175100000,32800000,17962,25713,0,2,3
2,2,AK,Alaska,1995,172600000,35100000,17934,26399,0,2,3
2,2,AK,Alaska,1996,171600000,36400000,17434,26953,0,2,3
2,2,AK,Alaska,1997,170300000,38800000,17216,28185,0,2,3
2,2,AK,Alaska,1998,167500000,46183076,16840,29110,0,2,3
2,2,AK,Alaska,1999,168900000,45408070,16214,29776,0,2,3
2,2,AK,Alaska,2000,174974100,44203186,15968,31881,0,2,3
2,2,AK,Alaska,2001,190649900,45645456,16059,33425,0,2,3
2,2,AK,Alaska,2002,201345567,48726916,16686,34564,0,2,3
2,2,AK,Alaska,2003,211151587,54492806,17954,35765,0,2,3
2,2,AK,Alaska,2004,215635950,61494609,18782,36813,0,2,3
2,2,AK,Alaska,2005,231449128,69484132,18700,38817,0,2,3
2,2,AK,Alaska,2006,251523341,78308765,18775,40881,0,2,3
2,2,AK,Alaska,2007,286529750,83932793,18646,43676,0,2,3
2,2,AK,Alaska,2008,299239250,91424376,18703,47569,0,2,3
2,2,AK,Alaska,2009,321204652,96266021,19010,46858,0,2,3
2,2,AK,Alaska,2010,334200578,105562885,20271,49254,0,2,3
2,2,AK,Alaska,2011,346646403,114697556,21070,52048,1,2,3
2,2,AK,Alaska,2012,362590136,118434540,21654,53153,1,2,3
2,2,AK,Alaska,2013,379052770,118496118,21131,52239,1,2,3
2,2,AK,Alaska,2014,395868850,113911573,20464,55595,1,2,3
2,2,AK,Alaska,2015,396843243,113098318,19904,57340,1,2,3
2,2,AK,Alaska,2016,373003022,119468103,19229,55915,1,2,3
3,4,AZ,Arizona,1990,530400000,225900000,148735,17323,0,2,3
3,4,AZ,Arizona,1991,566800000,254700000,154864,17731,0,2,3
3,4,AZ,Arizona,1992,568100000,266500000,159040,18309,0,2,3
3,4,AZ,Arizona,1993,577100000,275700000,158969,18950,0,2,3
3,4,AZ,Arizona,1994,581200000,306600000,158876,19869,0,2,3
3,4,AZ,Arizona,1995,626200000,323000000,160757,20753,0,2,3
3,4,AZ,Arizona,1996,657900000,311500000,164271,21737,0,2,3
3,4,AZ,Arizona,1997,694000000,363000000,164930,22804,0,2,3
3,4,AZ,Arizona,1998,738000000,383000000,170930,24033,0,2,3
3,4,AZ,Arizona,1999,795700000,402652600,176648,24702,0,2,3
3,4,AZ,Arizona,2000,865598400,426791600,180669,26151,0,2,3
3,4,AZ,Arizona,2001,895266600,487266400,185330,26701,0,2,3
3,4,AZ,Arizona,2002,934251700,505390506,192181,27043,0,2,3
3,4,AZ,Arizona,2003,912012496,534708700,205553,28094,0,2,3
3,4,AZ,Arizona,2004,919000072,640741700,212980,29954,0,2,3
3,4,AZ,Arizona,2005,984186000,715416800,218212,32222,0,2,3
3,4,AZ,Arizona,2006,1070038600,798166300,227283,34667,0,2,3
3,4,AZ,Arizona,2007,1187779700,884583900,229558,35776,1,2,3
3,4,AZ,Arizona,2008,1319384900,953206500,233255,35543,1,2,3
3,4,AZ,Arizona,2009,1301157900,1081378100,245680,33327,1,2,3
3,4,AZ,Arizona,2010,1155700000,1227840600,259953,33555,1,2,3
3,4,AZ,Arizona,2011,1098106700,1354359400,275071,34889,0,2,3
3,4,AZ,Arizona,2012,835384800,1518362500,275238,36064,0,2,3
3,4,AZ,Arizona,2013,854787000,1624760600,270644,36559,0,2,3
3,4,AZ,Arizona,2014,893479300,1759897200,270127,38175,0,2,3
3,4,AZ,Arizona,2015,933395700,1970196000,274454,39629,0,2,3
3,4,AZ,Arizona,2016,818154800,2170221000,279239,40456,0,2,3
4,5,AR,Arkansas,1990,319000000,100000000,61487,14622,1,1,4
4,5,AR,Arkansas,1991,331400000,109500000,64911,15299,1,1,4
4,5,AR,Arkansas,1992,380100000,122500000,72268,16438,1,1,4
4,5,AR,Arkansas,1993,406500000,135200000,74280,16956,1,1,4
4,5,AR,Arkansas,1994,412500000,148300000,75473,17758,1,1,4
4,5,AR,Arkansas,1995,424493666,153400000,74054,18602,1,1,4
4,5,AR,Arkansas,1996,458500000,159800000,76158,19458,1,1,4
4,5,AR,Arkansas,1997,482000000,171100000,75019,20187,1,1,4
4,5,AR,Arkansas,1998,510000000,189600000,78940,21291,1,1,4
4,5,AR,Arkansas,1999,548420925,201100000,80603,21920,1,1,4
4,5,AR,Arkansas,2000,606628341,138704833,86263,22824,1,1,4
4,5,AR,Arkansas,2001,592975978,161918646,87337,23917,1,1,4
4,5,AR,Arkansas,2002,604564510,207877204,92722,24346,1,1,4
4,5,AR,Arkansas,2003,608356074,217623665,92508,25588,1,1,4
4,5,AR,Arkansas,2004,652754394,248421856,96292,26970,1,1,4
4,5,AR,Arkansas,2005,648007390,277284010,99231,28096,1,1,4
4,5,AR,Arkansas,2006,744590151,304455656,101344,29422,1,1,4
4,5,AR,Arkansas,2007,787546829,330964981,103369,31062,1,1,4
4,5,AR,Arkansas,2008,871501601,356333620,105247,31935,1,1,4
4,5,AR,Arkansas,2009,878174500,408636085,108474,31152,1,1,4
4,5,AR,Arkansas,2010,944629517,430593853,118884,31863,1,1,4
4,5,AR,Arkansas,2011,1003646802,413332125,124085,33781,1,1,4
4,5,AR,Arkansas,2012,1002878171,459833218,124426,36088,1,1,4
4,5,AR,Arkansas,2013,996733851,478933391,124157,35961,1,1,4
4,5,AR,Arkansas,2014,983805665,537016180,121365,37948,1,1,4
4,5,AR,Arkansas,2015,976722858,562211948,118408,39030,1,1,4
4,5,AR,Arkansas,2016,969096892,604100895,117110,39717,1,1,4
5,6,CA,California,1990,5358400000,650900000,1141287,21485,0,2,3
5,6,CA,California,1991,5792500000,715300000,1107711,21857,0,2,3
5,6,CA,California,1992,5425400000,906400000,1116255,22678,0,2,3
5,6,CA,California,1993,4750800000,1137700000,1104739,23013,0,2,3
5,6,CA,California,1994,4300200000,1288300000,1069633,23581,0,2,3
5,6,CA,California,1995,4828900000,1353000000,1073048,24629,0,2,3
5,6,CA,California,1996,5344600000,1306100000,1103616,25912,0,2,3
5,6,CA,California,1997,5934700000,1318600000,1143849,27171,0,2,3
5,6,CA,California,1998,7171900000,1360100000,1157374,29185,0,2,3
5,6,CA,California,1999,7321200000,1417358000,1194874,30699,0,2,3
5,6,CA,California,2000,7892428000,1083962000,1433493,33403,0,2,3
5,6,CA,California,2001,8843537000,1080848000,1277325,34083,0,2,3
5,6,CA,California,2002,9353663000,1083536000,1309404,34233,0,2,3
5,6,CA,California,2003,9229429000,1226223000,1413927,35452,0,2,3
5,6,CA,California,2004,8462800000,1713119000,1401271,37364,0,2,3
5,6,CA,California,2005,8886919000,2058364000,1433492,39326,0,2,3
5,6,CA,California,2006,9831352554,2650223000,1373351,42139,0,2,3
5,6,CA,California,2007,10731273000,2796139000,1434993,43669,0,2,3
5,6,CA,California,2008,11349105000,1980166000,1507467,43895,0,2,3
5,6,CA,California,2009,10908052000,2489571379,1624753,42050,0,2,3
5,6,CA,California,2010,9821547000,2829285746,1612044,43617,0,2,3
5,6,CA,California,2011,10639560738,2346617976,1586699,46183,0,2,3
5,6,CA,California,2012,8823590000,3476167897,1541159,48826,0,2,3
5,6,CA,California,2013,9105513041,3496011682,1501945,49259,1,2,3
5,6,CA,California,2014,10488232776,3703092591,1532319,52340,1,2,3
5,6,CA,California,2015,11991631422,3695627259,1539822,55793,1,2,3
5,6,CA,California,2016,12891005906,3719494061,1530131,57625,1,2,3
6,8,CO,Colorado,1990,466800000,262400000,127721,19853,1,2,4
6,8,CO,Colorado,1991,476300000,297100000,131390,20549,1,2,4
6,8,CO,Colorado,1992,465800000,332800000,134262,21625,1,2,4
6,8,CO,Colorado,1993,492900000,372300000,136715,22639,1,2,4
6,8,CO,Colorado,1994,499200000,384200000,135947,23625,1,2,4
6,8,CO,Colorado,1995,507000000,406400000,135279,24995,1,2,4
6,8,CO,Colorado,1996,549200000,432500000,135335,26336,1,2,4
6,8,CO,Colorado,1997,585000000,444900000,136086,27675,1,2,4
6,8,CO,Colorado,1998,617600000,462700000,137682,29712,1,2,4
6,8,CO,Colorado,1999,644800000,485100000,139730,31284,1,2,4
6,8,CO,Colorado,2000,675692774,494791409,141727,34027,1,2,4
6,8,CO,Colorado,2001,706087616,521997870,141492,34889,1,2,4
6,8,CO,Colorado,2002,720951238,575310999,147724,34466,1,2,4
6,8,CO,Colorado,2003,592875995,619189050,156258,34787,1,2,4
6,8,CO,Colorado,2004,569793185,749909756,161181,35722,1,2,4
6,8,CO,Colorado,2005,589284996,746675779,162711,37732,1,2,4
6,8,CO,Colorado,2006,635454358,811840157,158876,39997,1,2,4
6,8,CO,Colorado,2007,678887904,788437172,157382,41889,1,2,4
6,8,CO,Colorado,2008,737885090,910615685,164638,42492,1,2,4
6,8,CO,Colorado,2009,823889323,1021888005,171564,39851,1,2,4
6,8,CO,Colorado,2010,819993148,1207442138,187231,40547,1,2,4
6,8,CO,Colorado,2011,754021489,1373262998,195621,43456,1,2,4
6,8,CO,Colorado,2012,638626184,1429713875,192541,45572,1,2,4
6,8,CO,Colorado,2013,631694097,1511706976,188405,47236,1,2,4
6,8,CO,Colorado,2014,670484906,1669476695,184836,50662,1,2,4
6,8,CO,Colorado,2015,770394604,1647921581,181867,52116,1,2,4
6,8,CO,Colorado,2016,855810437,1750094665,180264,52269,1,2,4
7,9,CT,Connecticut,1990,497100000,118800000,63374,26394,0,4,3
7,9,CT,Connecticut,1991,508400000,134500000,63332,26588,0,4,3
7,9,CT,Connecticut,1992,487300000,157900000,62853,28560,0,4,3
7,9,CT,Connecticut,1993,419600000,183500000,62658,29417,0,4,3
7,9,CT,Connecticut,1994,482300000,189500000,60914,30188,1,4,3
7,9,CT,Connecticut,1995,486200000,190600000,59311,31780,0,4,3
7,9,CT,Connecticut,1996,514400000,205400000,57568,33191,0,4,3
7,9,CT,Connecticut,1997,528800000,214100000,56659,35228,0,4,3
7,9,CT,Connecticut,1998,565600000,216300000,55727,37698,0,4,3
7,9,CT,Connecticut,1999,605000000,226500000,56661,39622,1,4,3
7,9,CT,Connecticut,2000,675480983,237619156,58885,43091,1,4,3
7,9,CT,Connecticut,2001,684570674,269832976,60976,45247,1,4,3
7,9,CT,Connecticut,2002,732340108,290739960,64183,44884,1,4,3
7,9,CT,Connecticut,2003,736497416,334497165,68062,45199,1,4,3
7,9,CT,Connecticut,2004,730867190,393244274,70030,47603,1,4,3
7,9,CT,Connecticut,2005,770710203,437859591,72278,50110,1,4,3
7,9,CT,Connecticut,2006,813871350,476557500,73608,54183,0,4,3
7,9,CT,Connecticut,2007,904944869,498184943,74951,58122,1,4,3
7,9,CT,Connecticut,2008,1006997108,539111722,77088,61209,1,4,3
7,9,CT,Connecticut,2009,1018618028,582265570,80433,59994,1,4,3
7,9,CT,Connecticut,2010,1071247137,619058876,85033,62203,1,4,3
7,9,CT,Connecticut,2011,1049231635,563016621,86281,63839,1,4,3
7,9,CT,Connecticut,2012,930333812,699881712,85683,65018,1,4,3
7,9,CT,Connecticut,2013,869740229,731909952,87810,63771,1,4,3
7,9,CT,Connecticut,2014,1010430581,842804729,88681,66724,1,4,3
7,9,CT,Connecticut,2015,1106930608,892649331,87403,68575,1,4,3
7,9,CT,Connecticut,2016,1208350326,997100244,85705,69722,1,4,3
8,10,DE,Delaware,1990,113800000,93300000,24657,21457,1,1,4
8,10,DE,Delaware,1991,115600000,103800000,26013,22247,1,1,4
8,10,DE,Delaware,1992,119000000,119700000,25847,22814,1,1,4
8,10,DE,Delaware,1993,120600000,133900000,26649,23312,1,1,4
8,10,DE,Delaware,1994,120000000,139900000,26515,23922,1,1,4
8,10,DE,Delaware,1995,124000000,155400000,26542,24902,1,1,4
8,10,DE,Delaware,1996,136500000,168600000,26829,26227,1,1,4
8,10,DE,Delaware,1997,158300000,176200000,27225,27069,1,1,4
8,10,DE,Delaware,1998,146900000,186800000,27401,29470,1,1,4
8,10,DE,Delaware,1999,167700000,188400000,29654,31149,1,1,4
8,10,DE,Delaware,2000,174400000,206100000,28960,33862,1,1,4
8,10,DE,Delaware,2001,184700000,215935800,28944,36874,1,1,4
8,10,DE,Delaware,2002,185400000,215100000,26775,37621,1,1,4
8,10,DE,Delaware,2003,180968841,241371155,31028,37935,1,1,4
8,10,DE,Delaware,2004,190568916,248666292,29546,38873,1,1,4
8,10,DE,Delaware,2005,202125538,262393757,30541,39243,1,1,4
8,10,DE,Delaware,2006,215296066,313441019,31269,40995,1,1,4
8,10,DE,Delaware,2007,231155583,336675056,31269,41681,1,1,4
8,10,DE,Delaware,2008,240006430,349865514,31619,40768,1,1,4
8,10,DE,Delaware,2009,242255555,379767784,32417,40697,1,1,4
8,10,DE,Delaware,2010,240923460,426590796,33570,40804,1,1,4
8,10,DE,Delaware,2011,210946000,468051904,34648,43862,1,1,4
8,10,DE,Delaware,2012,211828166,533000003,34672,44045,1,1,4
8,10,DE,Delaware,2013,214503897,559488627,34715,44279,1,1,4
8,10,DE,Delaware,2014,225935378,593521558,35657,45841,1,1,4
8,10,DE,Delaware,2015,224299977,616104774,36742,47813,1,1,4
8,10,DE,Delaware,2016,228259611,637053033,36472,48374,1,1,4
