opeid5_new,ftfac,ptfac,totfteiarep,tuition,statea,eg
1004,137,54,2850,10699663.68675655,14814627.16925182,20152844.78193431
1004,136,56,2780,12030039.57145512,15263773.53521222,20932973.25932685
1004,139,51,2737,12322155.6906005,17690233.44143688,24406972.27768485
1004,142,64,2647,12302412.83333333,20297441.79054305,26516548.51115166
1004,137,67,2684,13218193.56457826,23424869.62797378,30485245.90524466
1004,139,69,2785,14297145.51489423,18805902.23771627,30633868.68388416
1004,138,81,2843,14656694.00942822,16883003.02631623,32779695.27442383
1004,132,81,2828,15884317.22995235,16738424.44450358,33451303.50046465
1004,126,90,2812,17673361.28503481,17731194.26949006,29274616.07004426
1004,142,79,2827,19627619.99389193,17021946.88784976,34992809.73547749
1005,234,176,5466,20461104.71412037,30424602.34946945,38724261.16003481
1005,232,168,5061,26649793.64353541,31239168.56909807,41039783.99512537
1005,229,181,5135,23116916.16250169,33283492.60810354,47325081.70696472
1005,232,169,5114,24755597.56146087,41050708.17571472,51376694.83432177
1005,240,172,5439,28802074.46186469,47683272.43757603,55135512.96057211
1005,244,165,5410,31427847.32311942,44350648.64800452,54628550.0972898
1005,242,168,5630,37871349.74756691,44431437.54106684,65456060.80483745
1005,254,155,5575,39027980.34173087,45722974.58875709,72202461.93363915
1005,257,168,5291,40003966.26497026,42976352.97973269,73191138.10039875
1005,277,240,5756,42214826.83791227,41371205.44016964,76159141.17735368
1016,209,84,5002,18302828.39824108,21652215.72310084,26381607.14369593
1016,201,91,5158,20825852.47464686,22302827.09990876,29256026.34228001
1016,209,105,5341,25114510.81644532,25844592.11564781,31789204.55316471
1016,223,129,5905,28427905.75937753,30238935.8916937,35918827.03686807
1016,232,135,6123,30331871.92270715,33822900.2101497,41664633.74116315
1016,237,111,6037,31551189.50734996,24870983.24910448,47630652.2967525
1016,233,101,5985,35118532.85572959,26113999.63318633,50104469.06893755
1016,239,61,5887,37277978.78824513,25152217.86024094,48634068.93055555
1020,295,142,7956,26837970.02490538,28261186.89714281,44081856.0035567
1020,301,113,7997,30582233.89173594,29524776.3141474,47842180.27792984
1020,306,130,7772,31832233.06170586,33763053.85576338,52969845.55979656
1020,320,134,7494,33233778.08207455,41425769.12306535,57258132.45617903
1020,322,136,7584,33279359.18679035,47818603.67724384,59661586.02256522
1020,323,132,7844,38250289.05057955,38271378.03379291,59939470.83613814
1020,323,142,7931,40402744.43855602,38183696.54916024,63417755.53933495
1020,327,150,8021,42935017.7967694,35065025.31919944,64671955.04898283
1020,322,164,7939,45878626.70519059,35582982.19092998,65451190.31168052
