year,totalpct,tupub2yr,enpub2yr,unemprate
1970,51.700001,1168.0192,2195412,5
1971,53.5,1157.7203,2457319,6
1972,49.200001,1350.5165,2640939,5.5999999
1973,46.599998,1458.156,2889621,4.9000001
1974,47.599998,1327.0649,3285482,5.5999999
1975,50.700001,1096.1539,3836366,8.5
1976,48.799999,1198.2527,3751786,7.6999998
1977,50.599998,1213.9949,3901769,7.0999999
1978,50.099998,1185.3876,3873690,6.0999999
1979,49.299999,1134.0217,4056810,5.9000001
1980,49.299999,1120.3311,4328782,7.1999998
1981,53.900002,1145.5963,4480708,7.5999999
1982,50.599998,1195.7574,4519653,9.6999998
1983,52.700001,1287.1553,4459330,9.6000004
1984,55.200001,1370.0453,4279097,7.5
1985,57.700001,1461.6169,4269733,7.1999998
1986,53.799999,1473.1661,4413691,7
1987,56.799999,1511.8789,4541054,6.1999998
1988,58.900002,1494.6384,4615487,5.5
1989,59.599998,1477.4358,4883660,5.3000002
1990,60.099998,1526.9188,4996475,5.5999999
1991,62.5,1681.0022,5404815,6.9000001
1992,61.900002,1784.7881,5484555,7.5
1993,62.599998,1908.5176,5337328,6.9000001
1994,61.900002,1967.2399,5308467,6.0999999
1995,61.900002,1990.4059,5277829,5.5999999
1996,65,1992.1844,5314463,5.4000001
1997,67,2015.866,5360686,4.9000001
1998,65.599998,2000.3999,5245963,4.5
1999,62.900002,1975.3116,5398061,4.1999998
2000,63.299999,1888.4049,5697388,4
2001,61.799999,1921.2684,5996701,4.6999998
2002,65.199997,2020.6533,6270380,5.8000002
2003,63.900002,2269.3411,6209257,6
2004,66.699997,2392.9541,6243576,5.5
2005,68.599998,2412.8708,6184229,5.0999999
2006,66,2452.1692,6220129,4.5999999
2007,67.199997,2412.6501,6336135,4.5999999
2008,68.599998,2468.6626,6640180,5.8000002
2009,70.099998,2613.8635,7101570,9.3000002
2010,68.099998,2739.4272,7218063,9.6000004
2011,68.199997,2890.6682,7068158,8.8999996
2012,66.199997,2994.0195,6792065,8.1000004
2013,65.900002,3041.8484,6626411,7.4000001
2014,68.400002,3097.6152,6397552,6.1999998
2015,69.199997,3163.3516,6224304,5.3000002
2016,69.800003,3227.585,5842909,4.9000001
2017,,3242.8472,5706678,3.7
