stateid,fips,state,year,lnnetuit,lnstapr,lnfte,lnpc_income
1,1,AL,1990,19.375807,20.462681,11.980858,9.6716185
1,1,AL,1991,19.48263,20.506477,12.046221,9.7154694
1,1,AL,1992,19.629044,20.511681,12.0665,9.7746878
1,1,AL,1993,19.697439,20.517962,12.103198,9.8052683
1,1,AL,1994,19.770571,20.596569,12.113814,9.8509827
1,1,AL,1995,19.802967,20.736971,12.097011,9.8980732
1,1,AL,1996,19.823586,20.660965,12.086207,9.9345016
1,1,AL,1997,19.900009,20.691774,12.10623,9.976552
1,1,AL,1998,19.968243,20.702042,12.102571,10.031045
1,1,AL,1999,20.041386,20.76527,12.060619,10.059251
1,1,AL,2000,20.078741,20.806067,12.024587,10.101191
1,1,AL,2001,20.174261,20.796825,12.018737,10.132175
1,1,AL,2002,20.205828,20.822744,12.06501,10.15448
1,1,AL,2003,20.325603,20.863777,12.104339,10.192157
1,1,AL,2004,20.48505,20.873789,12.118154,10.254109
1,1,AL,2005,20.584879,20.90624,12.10358,10.302532
1,1,AL,2006,20.626314,21.048397,12.10617,10.351565
1,1,AL,2007,20.667372,21.226465,12.114528,10.391239
1,1,AL,2008,20.685953,21.377148,12.139323,10.415623
1,1,AL,2009,20.811241,21.163031,12.201829,10.393018
1,1,AL,2010,21.046007,21.139851,12.255182,10.429546
1,1,AL,2011,21.149395,21.140337,12.267911,10.461416
1,1,AL,2012,21.238087,21.106091,12.237397,10.48587
1,1,AL,2013,21.294132,21.044947,12.191517,10.492551
1,1,AL,2014,21.333229,21.072237,12.177874,10.524521
1,1,AL,2015,21.394651,21.085215,12.172573,10.560852
1,1,AL,2016,21.484924,21.098566,12.183499,10.577962
2,2,AK,1990,16.955343,18.896915,9.6299057,10.052467
2,2,AK,1991,17.118727,18.953659,9.7443743,10.065181
2,2,AK,1992,17.233236,18.967066,9.7762794,10.095759
2,2,AK,1993,17.210018,18.957174,9.7999582,10.12807
2,2,AK,1994,17.305939,18.980867,9.7960138,10.154752
2,2,AK,1995,17.373713,18.966488,9.7944536,10.181082
2,2,AK,1996,17.41008,18.960676,9.7661772,10.20185
2,2,AK,1997,17.47393,18.953072,9.7535944,10.246545
2,2,AK,1998,17.648125,18.936495,9.7315121,10.278837
2,2,AK,1999,17.631201,18.944817,9.6936302,10.301458
2,2,AK,2000,17.604307,18.980148,9.6783419,10.369765
2,2,AK,2001,17.636415,19.065948,9.6840248,10.417059
2,2,AK,2002,17.701742,19.120533,9.7223253,10.450568
2,2,AK,2003,17.81358,19.168087,9.7955685,10.484725
2,2,AK,2004,17.93446,19.189102,9.8406544,10.513606
2,2,AK,2005,18.056608,19.259871,9.8362789,10.566613
2,2,AK,2006,18.17617,19.343046,9.8402815,10.618421
2,2,AK,2007,18.245527,19.473352,9.8333874,10.684554
2,2,AK,2008,18.331022,19.516754,9.8364391,10.769937
2,2,AK,2009,18.382626,19.587589,9.8527203,10.754877
2,2,AK,2010,18.474817,19.627253,9.9169464,10.804746
2,2,AK,2011,18.55781,19.663816,9.9556055,10.859921
2,2,AK,2012,18.58987,19.708784,9.9829454,10.88093
2,2,AK,2013,18.590391,19.753185,9.9584961,10.863585
2,2,AK,2014,18.550934,19.796593,9.9264221,10.925849
2,2,AK,2015,18.543768,19.799051,9.8986759,10.956754
2,2,AK,2016,18.59856,19.737097,9.8641748,10.931588
3,4,AZ,1990,19.235603,20.089142,11.909922,9.7597904
