endyear,opeid5_new,lneg,lnstatea,lntuition,lntotfteiarep,lnftfac,lnptfac
2004,1004,16.818855,16.511126,16.185722,7.9550743,4.919981,3.9889841
2005,1004,16.856836,16.540993,16.302917,7.9302063,4.9126549,4.0253515
2006,1004,17.01038,16.688522,16.32691,7.9146175,4.934474,3.9318256
2007,1004,17.093279,16.826006,16.325306,7.8811822,4.9558272,4.1588831
2008,1004,17.232754,16.969309,16.397104,7.8950634,4.919981,4.2046928
2009,1004,17.237617,16.749681,16.475571,7.932003,4.934474,4.2341065
2010,1004,17.305321,16.641817,16.500408,7.9526153,4.9272537,4.3944492
2011,1004,17.325602,16.633217,16.580843,7.9473252,4.882802,4.3944492
2012,1004,17.192232,16.690836,16.687569,7.9416513,4.8362818,4.4998097
2013,1004,17.370653,16.650015,16.792448,7.9469714,4.9558272,4.3694477
2004,1005,17.471977,17.230762,16.834036,8.6063023,5.4553213,5.1704841
2005,1005,17.530052,17.257183,17.098291,8.5293198,5.4467373,5.1239638
2006,1005,17.67255,17.320572,16.956076,8.5438347,5.433722,5.1984968
2007,1005,17.754696,17.530319,17.024563,8.5397367,5.4467373,5.1298985
2008,1005,17.825304,17.680092,17.175959,8.6013508,5.480639,5.1474943
2009,1005,17.816067,17.607637,17.263205,8.5960045,5.4971681,5.1059456
2010,1005,17.996889,17.609457,17.449705,8.6358643,5.4889379,5.1239638
2011,1005,18.094984,17.638111,17.47979,8.6260471,5.5373344,5.0434251
2012,1005,18.108585,17.57616,17.50449,8.5737629,5.5490761,5.1239638
2013,1005,18.148336,17.538095,17.558283,8.6579981,5.6240177,5.480639
2004,1016,17.088177,16.890619,16.722567,8.5175934,5.3423343,4.4308167
2005,1016,17.191597,16.920223,16.851706,8.5483046,5.3033047,4.5108595
2006,1016,17.274637,17.067612,17.038956,8.583168,5.3423343,4.6539602
2007,1016,17.396772,17.224642,17.162882,8.6835546,5.4071717,4.8598123
2008,1016,17.545164,17.336649,17.227709,8.7198076,5.4467373,4.9052749
2010,1016,17.678988,17.029213,17.267122,8.7056627,5.46806,4.7095304
2012,1016,17.72962,17.077982,17.374239,8.6970119,5.4510384,4.6151204
2013,1016,17.699835,17.040457,17.433914,8.6805019,5.4764633,4.1108737
2004,1020,17.601559,17.157,17.105328,8.9816818,5.6869755,4.9558272
2005,1020,17.683418,17.200741,17.235929,8.9868221,5.7071104,4.7273879
2006,1020,17.785233,17.334877,17.27599,8.9582825,5.7235851,4.8675346
2007,1020,17.863081,17.539413,17.319077,8.9218578,5.768321,4.89784
2008,1020,17.9042,17.682926,17.320448,8.9337959,5.7745514,4.9126549
2009,1020,17.908846,17.460213,17.459661,8.9675045,5.7776523,4.882802
2010,1020,17.965254,17.45792,17.514408,8.9785347,5.7776523,4.9558272
2011,1020,17.984838,17.372715,17.575199,8.9898186,5.7899604,5.0106354
2012,1020,17.996815,17.387379,17.64151,8.9795427,5.7745514,5.0998664
2013,1020,18.087164,17.349209,17.631765,8.9315519,5.768321,5.187386
2004,1047,17.989662,16.929342,17.936581,9.4973221,5.8021183,6.4676986
2005,1047,18.375408,17.399374,18.371695,9.9000816,5.8021183,6.368187
