fy,state_abbrev,fips,State,lny1,lnx1,lnx2,lnx3,lnx4
1991,AL,1,ALABAMA,6.3227448,5.6671185,12.046221,11.070378,11.17899
1992,AL,1,ALABAMA,6.3243589,5.8135333,12.0665,11.126231,11.239058
1993,AL,1,ALABAMA,6.3473892,5.8819284,12.103198,11.19876,11.30541
1994,AL,1,ALABAMA,6.4811177,5.95506,12.113814,11.243711,11.34525
1995,AL,1,ALABAMA,6.591125,5.9874563,12.097011,11.300331,11.408659
1996,AL,1,ALABAMA,6.5238562,6.0080757,12.086207,11.355963,11.470218
1997,AL,1,ALABAMA,6.5689201,6.0844994,12.10623,11.400316,11.514383
1998,AL,1,ALABAMA,6.5781393,6.1527328,12.102571,11.450852,11.552986
1999,AL,1,ALABAMA,6.669498,6.2258744,12.060619,11.512459,11.602805
2000,AL,1,ALABAMA,6.6998072,6.2632298,12.024587,11.546874,11.652956
2001,AL,1,ALABAMA,6.6888065,6.3587513,12.018737,11.593169,11.688913
2002,AL,1,ALABAMA,6.7051115,6.3903165,12.06501,11.627636,11.715452
2003,AL,1,ALABAMA,6.7498097,6.5100932,12.104339,11.654354,11.758162
2004,AL,1,ALABAMA,6.7557292,6.6695404,12.118154,11.697004,11.803647
2005,AL,1,ALABAMA,6.7823386,6.7693691,12.10358,11.76555,11.894949
2006,AL,1,ALABAMA,6.9248405,6.8108039,12.10617,11.822814,11.957421
2007,AL,1,ALABAMA,7.0997419,6.8518615,12.114528,11.885701,12.006728
2008,AL,1,ALABAMA,7.2556081,6.8704419,12.139323,11.933784,12.04166
2009,AL,1,ALABAMA,7.0360456,6.9957314,12.201829,11.966334,12.059235
2010,AL,1,ALABAMA,7.0360861,7.2304964,12.255182,11.952117,12.033789
2011,AL,1,ALABAMA,7.0357795,7.3338842,12.267911,11.992363,12.071129
2012,AL,1,ALABAMA,6.9760237,7.4225764,12.237397,12.031379,12.108183
2013,AL,1,ALABAMA,6.9067397,7.478621,12.191517,12.059914,12.135108
2014,AL,1,ALABAMA,6.9176927,7.5177183,12.177874,12.069196,12.162544
2015,AL,1,ALABAMA,6.9458447,7.5791411,12.172573,12.103252,12.176701
2016,AL,1,ALABAMA,6.9622316,7.6694136,12.183499,12.141771,12.208084
2017,AL,1,ALABAMA,7.043334,7.7111831,12.199143,12.159058,12.22504
1991,AK,2,ALASKA,5.0376019,3.3032169,9.7443743,9.460578,10.12821
1992,AK,2,ALASKA,5.0491667,3.4177268,9.7762794,9.5033903,10.011557
1993,AK,2,ALASKA,5.0593777,3.3945084,9.7999582,9.5659637,10.032444
1994,AK,2,ALASKA,5.0853567,3.4904284,9.7960138,9.616292,10.055531
1995,AK,2,ALASKA,5.0735326,3.5582011,9.7944536,9.6494398,10.069201
1996,AK,2,ALASKA,5.0678821,3.5945687,9.7661772,9.677578,10.144423
1997,AK,2,ALASKA,5.0475006,3.6584203,9.7535944,9.7052193,10.1938
1998,AK,2,ALASKA,5.045301,3.8326135,9.7315121,9.7571087,10.155988
1999,AK,2,ALASKA,5.0533729,3.8156898,9.6936302,9.8044682,10.092884
2000,AK,2,ALASKA,5.0634551,3.7887969,9.6783419,9.8349781,10.115877
2001,AK,2,ALASKA,5.1486092,3.7621858,9.6852694,9.9074144,10.195347
2002,AK,2,ALASKA,5.2086406,3.8319101,9.7235231,9.9636602,10.254863
2003,AK,2,ALASKA,5.2584214,3.9372282,9.7966814,10.00994,10.295709
2004,AK,2,ALASKA,5.2807035,4.0515633,9.8417187,10.053613,10.367212
2005,AK,2,ALASKA,5.3479991,4.1770263,9.837348,10.099807,10.462266
2006,AK,2,ALASKA,5.4341555,4.2952065,9.8413458,10.164193,10.590989
2007,AK,2,ALASKA,5.5633874,4.3666563,9.8344593,10.230151,10.70179
2008,AK,2,ALASKA,5.6114187,4.4430747,9.8375082,10.303568,10.799016
2009,AK,2,ALASKA,5.6831918,4.5013747,9.8537722,10.398949,10.910577
2010,AK,2,ALASKA,5.7130294,4.5916443,9.9179325,10.401118,10.811461
2011,AK,2,ALASKA,5.7516489,4.6841226,9.9565544,10.471462,10.875828
2012,AK,2,ALASKA,5.7991757,4.7209673,9.9838686,10.540799,10.937737
2013,AK,2,ALASKA,5.8408585,4.7171922,9.9594421,10.575646,10.962494
2014,AK,2,ALASKA,5.8907623,4.670939,9.9273996,10.567708,10.944167
2015,AK,2,ALASKA,5.8883042,4.6657686,9.9001818,10.624017,10.92456
2016,AK,2,ALASKA,5.810616,4.7273173,9.8662529,10.65655,10.832529
2017,AK,2,ALASKA,5.7546921,4.7268133,9.8250933,10.63432,10.806965
1991,AZ,4,ARIZONA,6.4235716,5.5400863,11.950302,11.063838,11.165235
1992,AZ,4,ARIZONA,6.4468303,5.5853744,11.976911,11.11505,11.203111
1993,AZ,4,ARIZONA,6.4780488,5.6193132,11.976464,11.180136,11.32276
1994,AZ,4,ARIZONA,6.5108533,5.725544,11.97588,11.252093,11.399755
1995,AZ,4,ARIZONA,6.5818868,5.7776523,11.987649,11.342655,11.516661
1996,AZ,4,ARIZONA,6.650279,5.7413993,12.009273,11.429429,11.607378
1997,AZ,4,ARIZONA,6.7044144,5.894403,12.013276,11.509997,11.691324
1998,AZ,4,ARIZONA,6.7661915,5.9480348,12.049009,11.5901,11.793719
1999,AZ,4,ARIZONA,6.8415089,5.9980741,12.081914,11.678928,11.873341
