State,FY,COLI,EMI,HECA,StateSupport,FinancialAid,NetTuition,NetFTEStudents
Alabama,2023,0.874817,1.020407,1.000000,3051174272,52193432,2654152324,197404
Alaska,2023,1.240049,0.972260,1.000000,319785930,11773886,74825126,12075
Arizona,2023,0.962463,1.016214,1.000000,1397700100,56128900,2914251800,304993
Arkansas,2023,0.852109,1.004731,1.000000,1080876566,95854500,712793385,103606
California,2023,1.271378,0.974561,1.000000,20472263422,2010622365,5211213696,1547861
Colorado,2023,1.044599,1.024068,1.000000,1314736643,251604790,2282026386,175969
Connecticut,2023,1.194171,1.001642,1.000000,1936307295,35313224,968587432,73309
Delaware,2023,1.033892,1.040890,1.000000,275699544,19346720,751967688,36134
Florida,2023,0.952375,1.019976,1.000000,6146368404,853083569,1341285177,560982
Georgia,2023,0.877999,1.009819,1.000000,4949007413,785463573,1640331589,348477
Hawaii,2023,1.412833,1.019532,1.000000,901687772,6799695,222520873,31880
Idaho,2023,0.936217,0.976970,1.000000,659311439,18370219,442291265,54261
Illinois,2023,0.940432,0.987444,1.000000,5390687590,348173109,2300940026,278539
Indiana,2023,0.898821,1.007056,1.000000,1915994324,235294125,2537037540,238175
Iowa,2023,0.919148,1.017111,1.000000,885596303,36353070,1218062595,115113
Kansas,2023,0.922519,1.001955,1.000000,1008945356,42381005,807264693,118924
Kentucky,2023,0.867281,1.004377,1.000000,1484046289,256721500,1116757998,135356
Louisiana,2023,0.914179,1.000753,1.000000,1478999745,312876020,877857985,159036
Maine,2023,1.099617,1.026167,1.000000,390424176,40597715,223074959,32293
Maryland,2023,1.191517,0.990881,1.000000,2951409255,103627941,2047171150,215977
Massachusetts,2023,1.250533,0.987311,1.000000,2186641057,130015218,967806602,139082
Michigan,2023,0.859225,1.008582,1.000000,2492867300,60064217,4683354683,324705
Minnesota,2023,0.964954,0.989603,1.000000,1762275777,139661043,1615322490,159023
Mississippi,2023,0.831364,1.008723,1.000000,1148448687,44918604,864306920,117296
Missouri,2023,0.850668,0.985412,1.000000,1232756172,137536962,1062373716,143401
Montana,2023,0.976729,1.059349,1.000000,285811303,1552940,275599991,33811
Nebraska,2023,0.947714,1.001357,1.000000,901587028,22333293,475437628,71228
Nevada,2023,1.056863,1.038213,1.000000,792496714,104828235,241824600,73956
New Hampshire,2023,1.137034,1.039625,1.000000,157220748,7833830,353352626,30009
New Jersey,2023,1.144609,0.989993,1.000000,2853751000,417508439,2106094509,242280
New Mexico,2023,0.941450,0.988873,1.000000,1493456440,234404444,231107117,73111
New York,2023,1.056591,0.989115,1.000000,6291499786,571363688,3007425449,445675
North Carolina,2023,0.895671,0.984330,1.000000,5247500531,195369961,1840436469,393774
North Dakota,2023,1.013961,1.020071,1.000000,391393275,18362746,343467045,32160
Ohio,2023,0.870701,1.009494,1.000000,2466603626,116888629,3192049855,349053
Oklahoma,2023,0.877189,1.011231,1.000000,993743064,104555684,1032026296,119478
Oregon,2023,1.119892,1.008344,1.000000,1154822540,122413328,1355748409,123725
Pennsylvania,2023,0.962161,1.027127,1.000000,2241041832,256784444,3246718252,291659
Rhode Island,2023,1.208925,0.965323,1.000000,230904102,14664613,332204425,28491
South Carolina,2023,0.929071,1.015291,1.000000,1499871871,361582000,1789095917,170214
South Dakota,2023,0.935642,0.969914,1.000000,319955552,6030520,271820386,30736
Tennessee,2023,0.868157,0.996218,1.000000,2803826948,528603721,1091478307,175744
Texas,2023,0.908329,0.999183,1.000000,9385138564,549753451,7297385610,1006957
Utah,2023,0.972805,1.019268,1.000000,1533006700,38653087,913823625,129100
Vermont,2023,1.139689,0.973758,1.000000,154279232,11751775,358115827,19290
Virginia,2023,0.962968,1.023269,1.000000,3033117888,385807627,2608046618,289778
Washington,2023,1.080378,0.990187,1.000000,2614648320,385991102,1442468271,201544
West Virginia,2023,0.898378,1.024591,1.000000,555216054,80784027,441263375,57662
Wisconsin,2023,0.943718,1.001632,1.000000,1784433014,113179474,1461326607,195141
Wyoming,2023,0.990707,0.956238,1.000000,362375229,26855644,85159684,20867
U.S.,2023,1.000000,1.000000,1.000000,1.16382E+11,10762632104,75331054996,10229314
D.C.,2023,1.500761,0.966775,1.000000,136580302,3512368,17277503,2894
Alabama,2022,0.874817,1.020407,0.959657,1988189302,51812833,2597825745,191445
Alaska,2022,1.240049,0.972260,0.959657,300479932,12955708,78553462,12440
Arizona,2022,0.962463,1.016214,0.959657,1161519100,33628900,2689636400,309160
Arkansas,2022,0.852109,1.004731,0.959657,1084883201,109378779,655271588,102567
California,2022,1.271378,0.974561,0.959657,19418391454,1934535604,5362446304,1582288
Colorado,2022,1.044599,1.024068,0.959657,1305120610,225457312,2213531541,175533
Connecticut,2022,1.194171,1.001642,0.959657,1683602258,27604678,1012449493,75381
Delaware,2022,1.033892,1.040890,0.959657,303191558,16800200,715082904,33946
Florida,2022,0.952375,1.019976,0.959657,5852147476,850505664,1384610187,567038
Georgia,2022,0.877999,1.009819,0.959657,4787803437,760476371,1669573936,348450
Hawaii,2022,1.412833,1.019532,0.959657,798815562,8850926,224064387,32620
Idaho,2022,0.936217,0.976970,0.959657,555442011,16809090,440507497,53976
Illinois,2022,0.940432,0.987444,0.959657,5369075182,278049447,2414471000,282677
Indiana,2022,0.898821,1.007056,0.959657,1918678893,242232291,2497309771,235412
Iowa,2022,0.919148,1.017111,0.959657,871110787,34051464,1180731033,115604
Kansas,2022,0.922519,1.001955,0.959657,914563824,40302326,799553442,119978
Kentucky,2022,0.867281,1.004377,0.959657,1271869933,199052200,1162459556,133629
Louisiana,2022,0.914179,1.000753,0.959657,1376075202,338461428,826180785,158195
Maine,2022,1.099617,1.026167,0.959657,342782980,21084506,247408878,32111
Maryland,2022,1.191517,0.990881,0.959657,2368388554,92851685,2036902126,216383
Massachusetts,2022,1.250533,0.987311,0.959657,1897268408,103255446,949563018,142397
Michigan,2022,0.859225,1.008582,0.959657,2490641800,85103244,4540409476,332067
Minnesota,2022,0.964954,0.989603,0.959657,1784707167,129809543,1610956534,162546
Mississippi,2022,0.831364,1.008723,0.959657,991568915,41356235,857939639,119101
Missouri,2022,0.850668,0.985412,0.959657,1118396833,122638110,931383201,136953
Montana,2022,0.976729,1.059349,0.959657,268781713,1552938,258426458,33685
Nebraska,2022,0.947714,1.001357,0.959657,852633426,21733768,478273418,71335
Nevada,2022,1.056863,1.038213,0.959657,773557759,104801889,236405381,74078
New Hampshire,2022,1.137034,1.039625,0.959657,156845946,5603337,361884208,30874
New Jersey,2022,1.144609,0.989993,0.959657,2637840000,386099000,2142369987,241106
New Mexico,2022,0.941450,0.988873,0.959657,1068850681,106114362,352398752,70189
New York,2022,1.056591,0.989115,0.959657,5849373397,613775254,2885059577,455844
North Carolina,2022,0.895671,0.984330,0.959657,4899516975,148562023,1847142758,390900
North Dakota,2022,1.013961,1.020071,0.959657,391868275,18532049,338550480,31822
Ohio,2022,0.870701,1.009494,0.959657,2448061074,113526568,3148053361,368517
Oklahoma,2022,0.877189,1.011231,0.959657,934310766,94591181,994251251,120966
Oregon,2022,1.119892,1.008344,0.959657,1119544581,98896702,1326464964,122910
Pennsylvania,2022,0.962161,1.027127,0.959657,1940058924,232619416,3358358608,298847
Rhode Island,2022,1.208925,0.965323,0.959657,225197387,14201887,343151612,28741
South Carolina,2022,0.929071,1.015291,0.959657,1361480043,355366965,1734803679,166231
South Dakota,2022,0.935642,0.969914,0.959657,269197314,6015571,273136238,30645
Tennessee,2022,0.868157,0.996218,0.959657,2296688870,475594448,1066870422,173240
Texas,2022,0.908329,0.999183,0.959657,9203582560,549753454,7737210746,993823
Utah,2022,0.972805,1.019268,0.959657,1351621301,37683205,906476386,128774
Vermont,2022,1.139689,0.973758,0.959657,170138133,9941215,343145730,19633
Virginia,2022,0.962968,1.023269,0.959657,2756910177,347012627,2579330723,288995
Washington,2022,1.080378,0.990187,0.959657,2413443000,385044000,1402551694,207919
West Virginia,2022,0.898378,1.024591,0.959657,562358058,80736577,464747246,58865
Wisconsin,2022,0.943718,1.001632,0.959657,1762242223,108662831,1399220773,194947
