fips,state_abbrev,state,fy,state_appropr,fte_enrollment,fed_relief
1,AL,ALABAMA,1980,238800000,138620,
1,AL,ALABAMA,1981,276700000,145092,
1,AL,ALABAMA,1982,281300000,144840,
1,AL,ALABAMA,1983,303900000,145520,
1,AL,ALABAMA,1984,353300000,144962,
1,AL,ALABAMA,1985,416900000,138705,
1,AL,ALABAMA,1986,540400000,139554,
1,AL,ALABAMA,1987,461900000,142140,
1,AL,ALABAMA,1988,514400000,143246,
1,AL,ALABAMA,1989,557900000,147265,
1,AL,ALABAMA,1990,543200000,159669,
1,AL,ALABAMA,1991,557100000,170454,
1,AL,ALABAMA,1992,558000000,173946,
1,AL,ALABAMA,1993,571000000,180448,
1,AL,ALABAMA,1994,652700000,182374,
1,AL,ALABAMA,1995,728600000,179335,
1,AL,ALABAMA,1996,681200000,177408,
1,AL,ALABAMA,1997,712600000,180996,
1,AL,ALABAMA,1998,719200000,180335,
1,AL,ALABAMA,1999,788000000,172926,
1,AL,ALABAMA,2000,812248992,166806,
1,AL,ALABAMA,2001,803362761,165833,0
1,AL,ALABAMA,2002,816569084,173687,0
1,AL,ALABAMA,2003,853896083,180654,0
1,AL,ALABAMA,2004,858965823,183167,0
1,AL,ALABAMA,2005,882129435,180517,0
1,AL,ALABAMA,2006,1017232186,180985,0
1,AL,ALABAMA,2007,1211654323,182504,0
1,AL,ALABAMA,2008,1416023516,187086,0
1,AL,ALABAMA,2009,1136882694,199153,0
1,AL,ALABAMA,2010,1136929049,210067,118743545
1,AL,ALABAMA,2011,1136580631,212758,118743545
1,AL,ALABAMA,2012,1070652706,206364,0
1,AL,ALABAMA,2013,998984984,197110,0
1,AL,ALABAMA,2014,1008948422,194439,0
1,AL,ALABAMA,2015,1037785642,193411,0
1,AL,ALABAMA,2016,1054930293,195536,0
1,AL,ALABAMA,2017,1143426040,198619,0
1,AL,ALABAMA,2018,1186560181,202506,0
1,AL,ALABAMA,2019,1269430395,202773,0
1,AL,ALABAMA,2020,1439972414,200991,104995290
1,AL,ALABAMA,2021,1358644376,194930,0
1,AL,ALABAMA,2022,1553418153,191445,0
1,AL,ALABAMA,2023,2563238319,197404,0
1,AL,ALABAMA,2024,2132260233,200949,0
2,AK,ALASKA,1980,76400000,10530,
2,AK,ALASKA,1981,93300000,11744,
2,AK,ALASKA,1982,113300000,12794,
2,AK,ALASKA,1983,132700000,13941,
2,AK,ALASKA,1984,142700000,15061,
2,AK,ALASKA,1985,154100000,15000,
2,AK,ALASKA,1986,154100000,13965,
2,AK,ALASKA,1987,138600000,14894,
2,AK,ALASKA,1988,132600000,14349,
2,AK,ALASKA,1989,139400000,15063,
2,AK,ALASKA,1990,145400000,15213,
2,AK,ALASKA,1991,154100000,17058,
2,AK,ALASKA,1992,155892500,17611,
2,AK,ALASKA,1993,157492500,18033,
2,AK,ALASKA,1994,161637600,17962,
2,AK,ALASKA,1995,159737600,17934,
2,AK,ALASKA,1996,158837600,17434,
2,AK,ALASKA,1997,155633000,17216,
2,AK,ALASKA,1998,155291000,16840,
2,AK,ALASKA,1999,156549600,16214,
2,AK,ALASKA,2000,161515297,15968,
2,AK,ALASKA,2001,172191820,16079,0
2,AK,ALASKA,2002,182845322,16706,0
2,AK,ALASKA,2003,192177845,17974,0
2,AK,ALASKA,2004,196508104,18802,0
2,AK,ALASKA,2005,210187282,18720,0
2,AK,ALASKA,2006,229099268,18795,0
2,AK,ALASKA,2007,260704504,18666,0
2,AK,ALASKA,2008,273532065,18723,0
2,AK,ALASKA,2009,293886002,19030,0
2,AK,ALASKA,2010,302786996,20291,0
2,AK,ALASKA,2011,314709156,21090,0
2,AK,ALASKA,2012,330027482,21674,0
2,AK,ALASKA,2013,344074639,21151,0
2,AK,ALASKA,2014,361680907,20484,0
2,AK,ALASKA,2015,361042116,19934,0
2,AK,ALASKA,2016,334381411,19269,0
2,AK,ALASKA,2017,316355251,18492,0
2,AK,ALASKA,2018,310843056,17555,0
2,AK,ALASKA,2019,318675553,16721,0
2,AK,ALASKA,2020,295529002,15051,1700000
2,AK,ALASKA,2021,291560183,13739,16832201
2,AK,ALASKA,2022,276128816,12440,2100000
2,AK,ALASKA,2023,293493096,12075,0
2,AK,ALASKA,2024,306036971,12684,0
4,AZ,ARIZONA,1980,247100000,120148,
4,AZ,ARIZONA,1981,280800000,121835,
4,AZ,ARIZONA,1982,321800000,122762,
4,AZ,ARIZONA,1983,306200000,125103,
4,AZ,ARIZONA,1984,352000000,121672,
4,AZ,ARIZONA,1985,380000000,117861,
4,AZ,ARIZONA,1986,432200000,118610,
4,AZ,ARIZONA,1987,445800000,124340,
4,AZ,ARIZONA,1988,493600000,129939,
4,AZ,ARIZONA,1989,548500000,139868,
4,AZ,ARIZONA,1990,576200000,148735,
4,AZ,ARIZONA,1991,616200000,154864,
4,AZ,ARIZONA,1992,630700000,159040,
4,AZ,ARIZONA,1993,650700000,158969,
4,AZ,ARIZONA,1994,672400000,158876,
4,AZ,ARIZONA,1995,721900000,160757,
4,AZ,ARIZONA,1996,773000000,164271,
4,AZ,ARIZONA,1997,816000000,164930,
4,AZ,ARIZONA,1998,868000000,170930,
4,AZ,ARIZONA,1999,935900000,176648,
4,AZ,ARIZONA,2000,1025683900,180669,
4,AZ,ARIZONA,2001,1083366700,194629,0
4,AZ,ARIZONA,2002,1170922389,201660,0
4,AZ,ARIZONA,2003,1182635910,215146,0
4,AZ,ARIZONA,2004,1226061263,221824,0
4,AZ,ARIZONA,2005,1295147968,226420,0
4,AZ,ARIZONA,2006,1425527898,227283,0
4,AZ,ARIZONA,2007,1586517430,229558,0
4,AZ,ARIZONA,2008,1753797192,233255,0
4,AZ,ARIZONA,2009,1832245585,245680,182809300
4,AZ,ARIZONA,2010,1710803216,259953,83147900
4,AZ,ARIZONA,2011,1638678519,275071,0
4,AZ,ARIZONA,2012,1383694893,275238,0
4,AZ,ARIZONA,2013,1418173488,270644,0
4,AZ,ARIZONA,2014,1472975162,270127,0
4,AZ,ARIZONA,2015,1521823070,274454,0
4,AZ,ARIZONA,2016,1462926000,279239,0
4,AZ,ARIZONA,2017,1517455500,286335,0
4,AZ,ARIZONA,2018,1565514200,290816,0
4,AZ,ARIZONA,2019,1635158900,292856,0
4,AZ,ARIZONA,2020,1766130300,304281,37000000
4,AZ,ARIZONA,2021,1831059200,292192,129600000
4,AZ,ARIZONA,2022,1896600200,296293,0
4,AZ,ARIZONA,2023,2114514000,304993,0
4,AZ,ARIZONA,2024,2149916600,327169,20151200
5,AR,ARKANSAS,1980,113500000,53130,
5,AR,ARKANSAS,1981,119600000,55125,
5,AR,ARKANSAS,1982,126400000,55883,
5,AR,ARKANSAS,1983,135400000,55935,
5,AR,ARKANSAS,1984,140800000,55831,
5,AR,ARKANSAS,1985,178700000,54746,
5,AR,ARKANSAS,1986,197400000,54590,
5,AR,ARKANSAS,1987,195200000,55566,
5,AR,ARKANSAS,1988,198500000,56056,
5,AR,ARKANSAS,1989,220700000,58586,
5,AR,ARKANSAS,1990,226400000,61487,
5,AR,ARKANSAS,1991,233600000,64911,
5,AR,ARKANSAS,1992,272800000,72268,
5,AR,ARKANSAS,1993,296100000,74280,
5,AR,ARKANSAS,1994,293600000,75473,
5,AR,ARKANSAS,1995,307293666,74054,
5,AR,ARKANSAS,1996,334800000,76158,
5,AR,ARKANSAS,1997,350400000,75019,
5,AR,ARKANSAS,1998,375700000,78940,
5,AR,ARKANSAS,1999,409420925,80603,
5,AR,ARKANSAS,2000,466828459,86263,
5,AR,ARKANSAS,2001,476590507,87337,0
5,AR,ARKANSAS,2002,500540745,92722,0
5,AR,ARKANSAS,2003,467643771,92508,0
5,AR,ARKANSAS,2004,510063319,96292,0
5,AR,ARKANSAS,2005,500047256,99231,0
5,AR,ARKANSAS,2006,590353209,101344,0
5,AR,ARKANSAS,2007,628684148,103369,0
5,AR,ARKANSAS,2008,696190432,106206,0
5,AR,ARKANSAS,2009,702271943,108474,0
5,AR,ARKANSAS,2010,770927093,118884,13641365
5,AR,ARKANSAS,2011,823150391,124085,13641365
5,AR,ARKANSAS,2012,819881057,124426,0
5,AR,ARKANSAS,2013,810816178,124157,0
5,AR,ARKANSAS,2014,801842013,121365,0
5,AR,ARKANSAS,2015,799621607,118416,0
5,AR,ARKANSAS,2016,788472269,117112,0
5,AR,ARKANSAS,2017,772691447,116382,0
5,AR,ARKANSAS,2018,771608069,114872,0
5,AR,ARKANSAS,2019,788120622,113245,0
5,AR,ARKANSAS,2020,808767361,111155,0
5,AR,ARKANSAS,2021,810551303,105002,13000000
5,AR,ARKANSAS,2022,872885819,102567,0
