fips_code,state,need2010,need2018,need2019,need2020
1,ALABAMA,0,0,0,0
2,ALASKA,855800,5865251,5850402,5325049
4,ARIZONA,18161375,28886305,28227043,31478989
5,ARKANSAS,9632112,3463613,1776158,680435
6,CALIFORNIA,0,0,0,13770529
8,COLORADO,88317932,140900523,152354135,172014304
9,CONNECTICUT,102755908,140393741,138984728,158322504
10,DELAWARE,10247199,8099218,11243016,12429800
12,FLORIDA,133832581,270859648,270174954,270976143
13,GEORGIA,1295452,0,0,0
15,HAWAII,413371,2853245,2653001,3315558
16,IDAHO,862304,1186000,1186000,1186000
17,ILLINOIS,396200515,392573645,392339306,442964839
18,INDIANA,215846599,343573116,326278884,310906705
19,IOWA,50685034,51574673,56433990,57621671
20,KANSAS,16555294,15907785,15958746,16833797
21,KENTUCKY,63557668,73576741,83217768,91590163
22,LOUISIANA,24515546,26416008,28413083,28422958
23,MAINE,13720134,14513650,14997790,15334523
24,MARYLAND,69750968,89221986,85655181,57287475
25,MASSACHUSETTS,79754296,90076722,91069350,97074639
26,MICHIGAN,57000021,82150043,85797784,99934337
27,MINNESOTA,184415317,210539132,225173477,224565551
28,MISSISSIPPI,928932,0,0,0
29,MISSOURI,83236472,64176785,68333714,68638226
30,MONTANA,5169968,1273723,1273692,1246985
31,NEBRASKA,14093053,17392498,17978264,18740356
32,NEVADA,32485079,23496622,24321072,24588272
33,NEW HAMPSHIRE,3208727,0,609332,993998
34,NEW JERSEY,347507602,463676241,477991065,483403376
35,NEW MEXICO,19489038,24789492,23259760,23980380
36,NEW YORK,910217000,933768000,890405800,847717000
37,NORTH CAROLINA,312552264,296498916,296876514,301617390
38,NORTH DAKOTA,8519795,10051475,9579871,11808519
39,OHIO,76301177,102023190,94341561,109186295
40,OKLAHOMA,20318564,11995560,17118601,16308684
41,OREGON,76702680,68138064,74656561,76053598
42,PENNSYLVANIA,415186483,373186033,352772629,331771616
44,RHODE ISLAND,11001880,10031465,10031465,9595000
45,SOUTH CAROLINA,26775963,30203354,31091496,31055260
46,SOUTH DAKOTA,177504,204065,203290,222727
47,TENNESSEE,44863238,89695476,73059461,89033866
48,TEXAS,227806570,397782379,462965249,886598355
49,UTAH,4760427,2445572,2080368,4445210
50,VERMONT,18981121,15995642,16674968,15911714
51,VIRGINIA,105026040,320763369,360074714,394928351
53,WASHINGTON,211054963,323178018,347470086,398416379
54,WEST VIRGINIA,4252879,0,0,0
55,WISCONSIN,104061986,120540190,122311379,117087700
56,WYOMING,164942,0,0,0
