"
State",HSG1980,HSG1989,HSG1999,HSG2009,HSG2012,HSG2013,HSG2014,HSG2015,HSG2016,HSG2017,HSG2018,HSG2019,HSG2020,HSG2021,HSG2022
  Alabama ,44894 ,40485 ,37819 ,43166 ,44233 ,44410 ,45440 ,46240 ,47900 ,48520 ,47922 ,47220 ,47240 ,47410 ,47656 
  Alaska ,5343 ,5386 ,6615 ,8245 ,7860 ,7800 ,8040 ,8120 ,8290 ,8510 ,8461 ,8190 ,8060 ,7950 ,8058 
  Arizona ,28416 ,32103 ,38304 ,61145 ,62208 ,65180 ,66690 ,67640 ,70350 ,69220 ,73613 ,74820 ,75180 ,77260 ,78847 
  Arkansas ,29577 ,26475 ,27335 ,28276 ,28928 ,29930 ,30820 ,30910 ,31520 ,31860 ,32331 ,32640 ,32540 ,31880 ,31709 
  California ,242172 ,236291 ,309866 ,404987 ,422125 ,427500 ,430110 ,430240 ,426330 ,434440 ,438628 ,436510 ,441730 ,445860 ,440659 
"
  Colorado ",35897 ,32967 ,38924 ,49321 ,50968 ,51480 ,51840 ,53950 ,54940 ,56720 ,58031 ,58860 ,59990 ,60210 ,59952 
  Connecticut ,38369 ,27878 ,31562 ,34495 ,38722 ,38720 ,37970 ,38200 ,38640 ,38560 ,38303 ,37420 ,37830 ,36990 ,36729 
  Delaware ,7349 ,5550 ,6108 ,8133 ,8070 ,8220 ,8340 ,8410 ,8590 ,8660 ,8829 ,9000 ,9360 ,9360 ,9686 
  District of Columbia,4848 ,3626 ,2695 ,3602 ,3961 ,3810 ,3760 ,4060 ,3800 ,3910 ,3710 ,3720 ,3720 ,3690 ,3982 
  Florida ,88755 ,88934 ,106708 ,156130 ,158029 ,159790 ,166710 ,171170 ,177220 ,183380 ,188713 ,185640 ,187320 ,188430 ,190683 
"
  Georgia ",62963 ,56605 ,62563 ,91561 ,92416 ,95360 ,99530 ,103380 ,106580 ,111710 ,115031 ,114390 ,116200 ,115410 ,115718 
  Hawaii ,11472 ,10325 ,10437 ,10998 ,10790 ,11000 ,10720 ,10810 ,10650 ,11140 ,10660 ,11270 ,11420 ,11210 ,11358 
  Idaho ,12679 ,11971 ,16170 ,17793 ,17198 ,18860 ,17720 ,17820 ,18620 ,18900 ,19569 ,19520 ,20180 ,20570 ,21549 
  Illinois ,136795 ,108119 ,111835 ,139035 ,139228 ,136790 ,138800 ,138260 ,137790 ,138340 ,136725 ,133710 ,137040 ,137260 ,133737 
  Indiana ,73381 ,60012 ,57012 ,64551 ,66595 ,67110 ,65920 ,65510 ,67340 ,69490 ,71960 ,66090 ,67990 ,70100 ,70844 
"
  Iowa ",42635 ,31796 ,33926 ,34462 ,32548 ,32640 ,32570 ,32910 ,33140 ,33650 ,33647 ,33720 ,34110 ,34200 ,34646 
  Kansas ,29397 ,25367 ,29102 ,31642 ,31922 ,32100 ,31850 ,32750 ,32850 ,33480 ,33349 ,33390 ,33850 ,33890 ,34170 
  Kentucky ,41714 ,38005 ,36830 ,42664 ,42888 ,42870 ,43270 ,44310 ,44580 ,45760 ,46130 ,47040 ,46720 ,45750 ,46427 
  Louisiana ,46199 ,36053 ,38430 ,36573 ,37508 ,38640 ,38410 ,39750 ,40610 ,43430 ,43138 ,42430 ,40850 ,39420 ,41455 
  Maine ,15554 ,13839 ,12211 ,14069 ,13170 ,12530 ,12180 ,12210 ,11880 ,11750 ,11679 ,11670 ,12050 ,12550 ,12671 
"
  Maryland ",54050 ,41566 ,47849 ,59078 ,58896 ,57930 ,57320 ,57040 ,56710 ,58390 ,57421 ,59490 ,60410 ,59850 ,60273 
  Massachusetts ,74831 ,55941 ,52950 ,64462 ,66360 ,65650 ,65940 ,68460 ,68130 ,68440 ,68235 ,67370 ,68370 ,68430 ,66860 
  Michigan ,124372 ,93807 ,97679 ,110682 ,104210 ,102140 ,101270 ,99700 ,100100 ,101070 ,100062 ,98620 ,99570 ,101530 ,99036 
  Minnesota ,64166 ,49087 ,57372 ,59667 ,58255 ,57350 ,58040 ,58120 ,59010 ,59770 ,61165 ,60470 ,62080 ,63090 ,62224 
  Mississippi ,28083 ,25182 ,24232 ,25478 ,26502 ,26690 ,26720 ,27660 ,28220 ,29810 ,29133 ,28550 ,28450 ,28710 ,28847 
"
  Missouri ",60359 ,48957 ,52848 ,63994 ,61407 ,61050 ,60770 ,61820 ,61150 ,61680 ,61211 ,60830 ,61790 ,61690 ,61558 
  Montana ,11634 ,9370 ,10903 ,10075 ,9369 ,9480 ,9380 ,9290 ,9330 ,9420 ,9272 ,9160 ,9280 ,9550 ,9543 
  Nebraska ,21411 ,17664 ,20149 ,19370 ,20442 ,20250 ,20290 ,20690 ,20690 ,21310 ,21357 ,21730 ,21890 ,22220 ,22213 
  Nevada ,9069 ,9477 ,14551 ,20956 ,23038 ,23710 ,25090 ,26300 ,28040 ,29560 ,31008 ,31100 ,31450 ,31370 ,31502 
  New Hampshire ,11552 ,10766 ,11829 ,15034 ,14262 ,13780 ,13470 ,13520 ,13050 ,12950 ,12786 ,12770 ,12650 ,12460 ,12034 
"
  New Jersey ",93168 ,69824 ,74420 ,96225 ,96490 ,94840 ,94590 ,96180 ,96740 ,96770 ,96530 ,95390 ,97910 ,97680 ,97119 
  New Mexico ,17915 ,14884 ,18031 ,18595 ,19232 ,18780 ,19660 ,19550 ,19770 ,19830 ,19774 ,19670 ,19730 ,19310 ,19026 
  New York ,198465 ,143318 ,141731 ,183826 ,180351 ,178880 ,179580 ,179120 ,183080 ,184090 ,182799 ,182890 ,183770 ,181070 ,178129 
  North Carolina ,69395 ,64782 ,62140 ,88704 ,94339 ,96390 ,97430 ,99630 ,102630 ,106050 ,108363 ,107280 ,108590 ,99670 ,106316 
  North Dakota ,9924 ,7690 ,8606 ,7155 ,6900 ,6910 ,6960 ,6920 ,6820 ,6780 ,6956 ,6860 ,7010 ,7020 ,7101 
