year,pct
1960,45.1
1961,48.0
1962,49.0
1963,45.0
1964,48.3
1965,50.9
1966,50.1
1967,51.9
1968,55.4
1969,53.3
1970,51.7
1971,53.5
1972,49.2
1973,46.6
1974,47.6
1975,50.7
1976,48.8
1977,50.6
1978,50.1
1979,49.3
1980,49.3
1981,53.9
1982,50.6
1983,52.7
1984,55.2
1985,57.7
1986,53.8
1987,56.8
1988,58.9
1989,59.6
1990,60.1
1991,62.5
1992,61.9
1993,62.6
1994,61.9
1995,61.9
1996,65.0
1997,67.0
1998,65.6
1999,62.9
2000,63.3
2001,61.8
2002,65.2
2003,63.9
2004,66.7
2005,68.6
2006,66.0
2007,67.2
2008,68.6
2009,70.1
2010,68.1
2011,68.2
2012,66.2
2013,65.9
2014,68.4
2015,69.2
2016,69.8
2017,66.7
2018,69.1
2019,66.2
2020,62.7
2021,61.8
2022,62.0
