stateid,state,total,public,private,anystate,homestate,anyrate,homerate
1 ,Alabama ....................,50164,45394,4770,29728,26567,59.3,53.0
2 ,Alaska ..................,8189,7989,200,3732,2413,45.6,29.5
3 ,Arizona .....................,66218,63208,3010,35181,31132,53.1,47.0
4 ,Arkansas ..................,30019,28419,1600,20185,18244,67.2,60.8
5 ,California .................,451364,418664,32700,263843,231215,58.5,51.2
6 ,Colorado ....................,52607,50087,2520,31139,23268,59.2,44.2
7 ,Connecticut ...............,44751,38681,6070,31662,17396,70.8,38.9
8 ,Delaware ..................,10037,8247,1790,6500,4632,64.8,46.1
9 ,District of Columbia,5680,3860,1820,2463,450,43.4,7.9
10 ,Florida ..................,171404,151964,19440,107716,94985,62.8,55.4
11 ,Georgia .................,99952,90582,9370,66494,55399,66.5,55.4
12 ,Hawaii .....................,13970,11360,2610,9040,6091,64.7,43.6
13 ,Idaho ........................,18238,17568,670,8782,6179,48.2,33.9
14 ,Illinois .................,153605,139575,14030,92394,63610,60.2,41.4
15 ,Indiana.....................,70767,65667,5100,44612,38812,63.0,54.8
16 ,Iowa ........................,41550,33230,2400,23488,20340,56.5,49.0
17 ,Kansas .....................,34078,31898,2180,22239,19058,65.3,55.9
18 ,Kentucky .................,47442,42642,4800,29830,26624,62.9,56.1
19 ,Louisiana ...................,44575,36675,7900,28831,26024,64.7,58.4
20 ,Maine .....................,16103,13473,2630,8681,5829,53.9,36.2
21 ,Maryland ....................,67781,58811,8970,41033,25773,60.5,38.0
22 ,Massachusetts ..............,76177,65157,11020,53836,36132,70.7,47.4
23 ,Michigan .....................,115256,105446,9810,70843,63296,61.5,54.9
24 ,Minnesota ...................,61891,57501,4390,43264,30237,69.9,48.9
25 ,Mississippi .............,29748,26158,3590,23436,21752,78.8,73.1
26 ,Missouri..................,69053,61313,7740,42762,35648,61.9,51.6
27 ,Montana .....................,10140,9750,390,5907,4598,58.3,45.3
28 ,Nebraska ....................,22844,20464,2380,14750,11969,64.6,52.4
29 ,Nevada ....................,22731,21891,840,12288,9310,54.1,41.0
30 ,New Hampshire ..................,16886,14426,2460,10418,5618,61.7,33.3
31 ,New Jersey .................,106919,93819,13100,72631,41204,67.9,38.5
32 ,New Mexico .................,21375,20315,1060,14831,12903,69.4,60.4
33 ,New York ..................,209216,180806,28410,146458,117960,70.0,56.4
34 ,North Carolina ...........,101097,93977,7120,62531,55578,61.9,55.0
35 ,North Dakota ................,7322,6942,380,4751,3527,64.9,48.2
36 ,Ohio .......................,135885,123135,12750,81428,69039,59.9,50.8
37 ,Oklahoma ....................,39295,37305,1990,22667,20207,57.7,51.4
38 ,Oregon ......................,37301,34261,3040,17509,13343,46.9,35.8
39 ,Pennsylvania ...............,146493,131733,14760,87075,70625,59.4,48.2
40 ,Rhode Island ..............,11501,9751,1750,7715,5056,67.1,44.0
41 ,South Carolina .............,44452,41442,3010,29023,26154,65.3,58.8
42 ,South Dakota .............,8456,8196,260,5825,4443,68.9,52.5
43 ,Tennessee ...............,67964,62454,5510,41027,34318,60.4,50.5
44 ,Texas ....................,306591,292531,14060,176871,156566,57.7,51.1
45 ,Utah ....................,32757,31157,1600,16650,15101,50.8,46.1
46 ,Vermont ....................,7789,6859,930,4142,2040,53.2,26.2
47 ,Virginia ....................,89866,83336,6530,58035,47582,64.6,52.9
48 ,Washington ..................,71165,65205,5960,34168,25854,48.0,36.3
49 ,West Virginia............,18383,17603,780,10241,9110,55.7,49.6
50 ,Wisconsin ................,71225,62705,8520,41715,33972,58.6,47.7
51 ,Wyoming ...................,5603,5553,50,3170,2426,56.6,43.3
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
